Geography,Geography code,Week,CauseOfDeath,PlaceOfDeath,RegistrationOrOccurrence,death2020
Barking and Dagenham,E09000002,Week 1,COVID 19,Care home,Occurrences,0
Barking and Dagenham,E09000002,Week 1,COVID 19,Care home,Registrations,0
Barking and Dagenham,E09000002,Week 1,COVID 19,Elsewhere,Occurrences,0
Barking and Dagenham,E09000002,Week 1,COVID 19,Elsewhere,Registrations,0
Barking and Dagenham,E09000002,Week 1,COVID 19,Home,Occurrences,0
Barking and Dagenham,E09000002,Week 1,COVID 19,Home,Registrations,0
Barking and Dagenham,E09000002,Week 1,COVID 19,Hospice,Occurrences,0
Barking and Dagenham,E09000002,Week 1,COVID 19,Hospice,Registrations,0
Barking and Dagenham,E09000002,Week 1,COVID 19,Hospital,Occurrences,0
Barking and Dagenham,E09000002,Week 1,COVID 19,Hospital,Registrations,0
Barking and Dagenham,E09000002,Week 1,COVID 19,Other communal establishment,Occurrences,0
Barking and Dagenham,E09000002,Week 1,COVID 19,Other communal establishment,Registrations,0
Barking and Dagenham,E09000002,Week 10,COVID 19,Care home,Occurrences,0
Barking and Dagenham,E09000002,Week 10,COVID 19,Care home,Registrations,0
Barking and Dagenham,E09000002,Week 10,COVID 19,Elsewhere,Occurrences,0
Barking and Dagenham,E09000002,Week 10,COVID 19,Elsewhere,Registrations,0
Barking and Dagenham,E09000002,Week 10,COVID 19,Home,Occurrences,0
Barking and Dagenham,E09000002,Week 10,COVID 19,Home,Registrations,0
Barking and Dagenham,E09000002,Week 10,COVID 19,Hospice,Occurrences,0
Barking and Dagenham,E09000002,Week 10,COVID 19,Hospice,Registrations,0
Barking and Dagenham,E09000002,Week 10,COVID 19,Hospital,Occurrences,0
Barking and Dagenham,E09000002,Week 10,COVID 19,Hospital,Registrations,0
Barking and Dagenham,E09000002,Week 10,COVID 19,Other communal establishment,Occurrences,0
Barking and Dagenham,E09000002,Week 10,COVID 19,Other communal establishment,Registrations,0
Barking and Dagenham,E09000002,Week 11,COVID 19,Care home,Occurrences,0
Barking and Dagenham,E09000002,Week 11,COVID 19,Care home,Registrations,0
Barking and Dagenham,E09000002,Week 11,COVID 19,Elsewhere,Occurrences,0
Barking and Dagenham,E09000002,Week 11,COVID 19,Elsewhere,Registrations,0
Barking and Dagenham,E09000002,Week 11,COVID 19,Home,Occurrences,0
Barking and Dagenham,E09000002,Week 11,COVID 19,Home,Registrations,0
Barking and Dagenham,E09000002,Week 11,COVID 19,Hospice,Occurrences,0
Barking and Dagenham,E09000002,Week 11,COVID 19,Hospice,Registrations,0
Barking and Dagenham,E09000002,Week 11,COVID 19,Hospital,Occurrences,0
Barking and Dagenham,E09000002,Week 11,COVID 19,Hospital,Registrations,0
Barking and Dagenham,E09000002,Week 11,COVID 19,Other communal establishment,Occurrences,0
Barking and Dagenham,E09000002,Week 11,COVID 19,Other communal establishment,Registrations,0
Barking and Dagenham,E09000002,Week 12,COVID 19,Care home,Occurrences,2
Barking and Dagenham,E09000002,Week 12,COVID 19,Care home,Registrations,1
Barking and Dagenham,E09000002,Week 12,COVID 19,Elsewhere,Occurrences,0
Barking and Dagenham,E09000002,Week 12,COVID 19,Elsewhere,Registrations,0
Barking and Dagenham,E09000002,Week 12,COVID 19,Home,Occurrences,1
Barking and Dagenham,E09000002,Week 12,COVID 19,Home,Registrations,0
Barking and Dagenham,E09000002,Week 12,COVID 19,Hospice,Occurrences,0
Barking and Dagenham,E09000002,Week 12,COVID 19,Hospice,Registrations,0
Barking and Dagenham,E09000002,Week 12,COVID 19,Hospital,Occurrences,4
Barking and Dagenham,E09000002,Week 12,COVID 19,Hospital,Registrations,1
Barking and Dagenham,E09000002,Week 12,COVID 19,Other communal establishment,Occurrences,0
Barking and Dagenham,E09000002,Week 12,COVID 19,Other communal establishment,Registrations,0
Barking and Dagenham,E09000002,Week 13,COVID 19,Care home,Occurrences,1
Barking and Dagenham,E09000002,Week 13,COVID 19,Care home,Registrations,1
Barking and Dagenham,E09000002,Week 13,COVID 19,Elsewhere,Occurrences,0
Barking and Dagenham,E09000002,Week 13,COVID 19,Elsewhere,Registrations,0
Barking and Dagenham,E09000002,Week 13,COVID 19,Home,Occurrences,1
Barking and Dagenham,E09000002,Week 13,COVID 19,Home,Registrations,1
Barking and Dagenham,E09000002,Week 13,COVID 19,Hospice,Occurrences,0
Barking and Dagenham,E09000002,Week 13,COVID 19,Hospice,Registrations,0
Barking and Dagenham,E09000002,Week 13,COVID 19,Hospital,Occurrences,11
Barking and Dagenham,E09000002,Week 13,COVID 19,Hospital,Registrations,3
Barking and Dagenham,E09000002,Week 13,COVID 19,Other communal establishment,Occurrences,0
Barking and Dagenham,E09000002,Week 13,COVID 19,Other communal establishment,Registrations,0
Barking and Dagenham,E09000002,Week 14,COVID 19,Care home,Occurrences,2
Barking and Dagenham,E09000002,Week 14,COVID 19,Care home,Registrations,3
Barking and Dagenham,E09000002,Week 14,COVID 19,Elsewhere,Occurrences,0
Barking and Dagenham,E09000002,Week 14,COVID 19,Elsewhere,Registrations,0
Barking and Dagenham,E09000002,Week 14,COVID 19,Home,Occurrences,3
Barking and Dagenham,E09000002,Week 14,COVID 19,Home,Registrations,2
Barking and Dagenham,E09000002,Week 14,COVID 19,Hospice,Occurrences,0
Barking and Dagenham,E09000002,Week 14,COVID 19,Hospice,Registrations,0
Barking and Dagenham,E09000002,Week 14,COVID 19,Hospital,Occurrences,30
Barking and Dagenham,E09000002,Week 14,COVID 19,Hospital,Registrations,23
Barking and Dagenham,E09000002,Week 14,COVID 19,Other communal establishment,Occurrences,0
Barking and Dagenham,E09000002,Week 14,COVID 19,Other communal establishment,Registrations,0
Barking and Dagenham,E09000002,Week 15,COVID 19,Care home,Occurrences,2
Barking and Dagenham,E09000002,Week 15,COVID 19,Care home,Registrations,0
Barking and Dagenham,E09000002,Week 15,COVID 19,Elsewhere,Occurrences,0
Barking and Dagenham,E09000002,Week 15,COVID 19,Elsewhere,Registrations,0
Barking and Dagenham,E09000002,Week 15,COVID 19,Home,Occurrences,4
Barking and Dagenham,E09000002,Week 15,COVID 19,Home,Registrations,2
Barking and Dagenham,E09000002,Week 15,COVID 19,Hospice,Occurrences,0
Barking and Dagenham,E09000002,Week 15,COVID 19,Hospice,Registrations,0
Barking and Dagenham,E09000002,Week 15,COVID 19,Hospital,Occurrences,35
Barking and Dagenham,E09000002,Week 15,COVID 19,Hospital,Registrations,28
Barking and Dagenham,E09000002,Week 15,COVID 19,Other communal establishment,Occurrences,0
Barking and Dagenham,E09000002,Week 15,COVID 19,Other communal establishment,Registrations,0
Barking and Dagenham,E09000002,Week 16,COVID 19,Care home,Occurrences,4
Barking and Dagenham,E09000002,Week 16,COVID 19,Care home,Registrations,4
Barking and Dagenham,E09000002,Week 16,COVID 19,Elsewhere,Occurrences,0
Barking and Dagenham,E09000002,Week 16,COVID 19,Elsewhere,Registrations,0
Barking and Dagenham,E09000002,Week 16,COVID 19,Home,Occurrences,1
Barking and Dagenham,E09000002,Week 16,COVID 19,Home,Registrations,4
Barking and Dagenham,E09000002,Week 16,COVID 19,Hospice,Occurrences,0
Barking and Dagenham,E09000002,Week 16,COVID 19,Hospice,Registrations,0
Barking and Dagenham,E09000002,Week 16,COVID 19,Hospital,Occurrences,15
Barking and Dagenham,E09000002,Week 16,COVID 19,Hospital,Registrations,28
Barking and Dagenham,E09000002,Week 16,COVID 19,Other communal establishment,Occurrences,0
Barking and Dagenham,E09000002,Week 16,COVID 19,Other communal establishment,Registrations,0
Barking and Dagenham,E09000002,Week 17,COVID 19,Care home,Occurrences,2
Barking and Dagenham,E09000002,Week 17,COVID 19,Care home,Registrations,2
Barking and Dagenham,E09000002,Week 17,COVID 19,Elsewhere,Occurrences,0
Barking and Dagenham,E09000002,Week 17,COVID 19,Elsewhere,Registrations,0
Barking and Dagenham,E09000002,Week 17,COVID 19,Home,Occurrences,2
Barking and Dagenham,E09000002,Week 17,COVID 19,Home,Registrations,2
Barking and Dagenham,E09000002,Week 17,COVID 19,Hospice,Occurrences,0
Barking and Dagenham,E09000002,Week 17,COVID 19,Hospice,Registrations,0
Barking and Dagenham,E09000002,Week 17,COVID 19,Hospital,Occurrences,17
Barking and Dagenham,E09000002,Week 17,COVID 19,Hospital,Registrations,15
Barking and Dagenham,E09000002,Week 17,COVID 19,Other communal establishment,Occurrences,0
Barking and Dagenham,E09000002,Week 17,COVID 19,Other communal establishment,Registrations,0
Barking and Dagenham,E09000002,Week 18,COVID 19,Care home,Occurrences,3
Barking and Dagenham,E09000002,Week 18,COVID 19,Care home,Registrations,4
Barking and Dagenham,E09000002,Week 18,COVID 19,Elsewhere,Occurrences,0
Barking and Dagenham,E09000002,Week 18,COVID 19,Elsewhere,Registrations,0
Barking and Dagenham,E09000002,Week 18,COVID 19,Home,Occurrences,1
Barking and Dagenham,E09000002,Week 18,COVID 19,Home,Registrations,1
Barking and Dagenham,E09000002,Week 18,COVID 19,Hospice,Occurrences,0
Barking and Dagenham,E09000002,Week 18,COVID 19,Hospice,Registrations,0
Barking and Dagenham,E09000002,Week 18,COVID 19,Hospital,Occurrences,4
Barking and Dagenham,E09000002,Week 18,COVID 19,Hospital,Registrations,14
Barking and Dagenham,E09000002,Week 18,COVID 19,Other communal establishment,Occurrences,0
Barking and Dagenham,E09000002,Week 18,COVID 19,Other communal establishment,Registrations,0
Barking and Dagenham,E09000002,Week 19,COVID 19,Care home,Occurrences,2
Barking and Dagenham,E09000002,Week 19,COVID 19,Care home,Registrations,2
Barking and Dagenham,E09000002,Week 19,COVID 19,Elsewhere,Occurrences,0
Barking and Dagenham,E09000002,Week 19,COVID 19,Elsewhere,Registrations,0
Barking and Dagenham,E09000002,Week 19,COVID 19,Home,Occurrences,2
Barking and Dagenham,E09000002,Week 19,COVID 19,Home,Registrations,1
Barking and Dagenham,E09000002,Week 19,COVID 19,Hospice,Occurrences,0
Barking and Dagenham,E09000002,Week 19,COVID 19,Hospice,Registrations,0
Barking and Dagenham,E09000002,Week 19,COVID 19,Hospital,Occurrences,6
Barking and Dagenham,E09000002,Week 19,COVID 19,Hospital,Registrations,6
Barking and Dagenham,E09000002,Week 19,COVID 19,Other communal establishment,Occurrences,0
Barking and Dagenham,E09000002,Week 19,COVID 19,Other communal establishment,Registrations,0
Barking and Dagenham,E09000002,Week 2,COVID 19,Care home,Occurrences,0
Barking and Dagenham,E09000002,Week 2,COVID 19,Care home,Registrations,0
Barking and Dagenham,E09000002,Week 2,COVID 19,Elsewhere,Occurrences,0
Barking and Dagenham,E09000002,Week 2,COVID 19,Elsewhere,Registrations,0
Barking and Dagenham,E09000002,Week 2,COVID 19,Home,Occurrences,0
Barking and Dagenham,E09000002,Week 2,COVID 19,Home,Registrations,0
Barking and Dagenham,E09000002,Week 2,COVID 19,Hospice,Occurrences,0
Barking and Dagenham,E09000002,Week 2,COVID 19,Hospice,Registrations,0
Barking and Dagenham,E09000002,Week 2,COVID 19,Hospital,Occurrences,0
Barking and Dagenham,E09000002,Week 2,COVID 19,Hospital,Registrations,0
