id,listing_url,scrape_id,last_scraped,source,name,description,neighborhood_overview,picture_url,host_id,host_url,host_name,host_since,host_location,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_thumbnail_url,host_picture_url,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
282198,https://www.airbnb.com/rooms/282198,20230906022807,2023-09-06,city scrape,Serviced apartment in London · ★4.93 · 1 bedroom · 1 bed · 1 private bath,"<b>The space</b><br />Two floor Georgian Apartment with a double bedroom for rent, new renovation in Bloomsbury, the heart of London. This apt has all amenities you need plus a small outdoor deck / garden. Despite the central location the apt is very quiet, especially at evenings and weekends.<br /><br />This apartment has WIFI internet, a washer and dryer, iron and ironing board, wardrobe and drawers for your clothes, a fully equipped kitchen with dishwasher, separate dining room, the bathroom has a walk in shower and underfloor heating, movies and through room music system available. Washing machine and dryer on site too.<br /><br />Cooking is welcome, tea and coffee provided. Clean sheets and towels provided. Single or couples welcome. No parking available. No extra people to stay unless pre-arranged when booking.<br /><br /><b>Other things to note</b><br />The cleaning fee is £41 for each week you stay. I will adjust this when it comes to you booking.","Plenty of award winning restaurants and pubs nearby on Exmouth Market, Clerkenwell Rd, Lambs Conduit Street and St. John's Street. The British Museum is on the other side of Russell Sq, the West End and Soho all within a 20 minute walk. Shoreditch, East London's new art district is close, with galleries, boutiques and restaurants, and is a 20 minute bus ride. The Tate and the South Bank is a 20 minute bus ride to the river.",https://a0.muscache.com/pictures/miso/Hosting-282198/original/467ec082-e236-420f-803d-a8b10fd87db7.png,1413029,https://www.airbnb.com/users/show/1413029,Lucy,2011-11-16,"New York, NY","I am English and a photographer who travels frequently between London and New York.  I love watching movies, eating good food, going to exhibitions, traveling to shoot, gardening, collecting photo books, and artwork for my walls.  This is my childhood home which I renovated in 2011 - a dream I've had for many years!  Hope you'll enjoy your stay :-)",within a few hours,100%,20%,f,https://a0.muscache.com/im/users/1413029/profile_pic/1391108029/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/1413029/profile_pic/1391108029/original.jpg?aki_policy=profile_x_medium,Clerkenwell,1.0,2.0,"['email', 'phone']",t,t,"London, United Kingdom",Camden,,51.52361,-0.11591,Private room in serviced apartment,Private room,2,,1 private bath,1.0,1.0,"[""Hot water kettle"", ""Clothing storage: closet"", ""Private patio or balcony"", ""EV charger"", ""Luggage dropoff allowed"", ""Microwave"", ""Self check-in"", ""Dining table"", ""Bed linens"", ""Books and reading material"", ""Bikes"", ""Coffee"", ""Hot water"", ""Iron"", ""Lockbox"", ""Wine glasses"", ""Outdoor furniture"", ""Washer"", ""Portable fans"", ""Board games"", ""Cooking basics"", ""Heating"", ""Dishwasher"", ""Drying rack for clothing"", ""TV with standard cable"", ""Freezer"", ""Oven"", ""Refrigerator"", ""Baking sheet"", ""Hair dryer"", ""Essentials"", ""Long term stays allowed"", ""Room-darkening shades"", ""Stove"", ""Carbon monoxide alarm"", ""Backyard"", ""Sound system with aux"", ""Cleaning products"", ""Extra pillows and blankets"", ""Toaster"", ""Wifi"", ""Dishes and silverware"", ""Smoke alarm"", ""Kitchen"", ""Hangers"", ""Dedicated workspace""]",120.0,21,90,21.0,21.0,90.0,90.0,21.0,90.0,,t,0,0,0,17,2023-09-06,77,0,0,2012-04-02,2020-04-25,4.93,4.95,4.89,4.92,4.91,4.91,4.85,,f,1,0,1,0,0.55
1813094,https://www.airbnb.com/rooms/1813094,20230906022807,2023-09-06,city scrape,Rental unit in London · ★4.65 · 1 bedroom · 1 bed · 2 shared baths,"Beautiful double room in Barons Court, West London, mansion block flat. Quiet street, one minute from tube, great local shops, green space behind, Queens club, river-walks nearby. Easy access to central London, Notting Hill, Kensington, & airports.<br /><br /><b>The space</b><br />We have a beautiful double room available in our spacious mansion block flat. The well-equipped kitchen dinning room is light and airy. There's a bathroom with a toilet, and a separate shower room, as well as a second toilet. <br />There's always plenty of hot water any time of day or night. <br /><br />We're an artistic household of music, painting, film and theatre makers, happy to give pointers on current cultural events. I also offer acting/writing/directing/creativity workshops.<br /><br /><b>Guest access</b><br />Kitchen-dinning room, shower-room, bathroom, toilets.<br />High speed broadband internet. <br /><br />Guests can use the dishwasher, washing machine and dryer within reason. <br /><br />We will","Barons Court is a bit of a hidden gem. It's leafy, quiet, and safe with brilliant transport access to other more lively areas and the airports. <br /><br />The legendary Queen's tennis club is actually on our street. In case you don't know, Queens is a beautiful old tennis club, and the venue for a pre-Wimbledon tournament that takes place every summer. <br /><br />Easy travel to Heathrow (about 30mins on Picadilly line), and proximity to the roads out of London, make this area a great place if you are commuting into London for work. <br />It's also a great base for exploring other areas such as Notting Hill, Portobello (Portobello Market), Kensington (the Natural History museum, Science museum, V&A museum). We're about 15/20 mins from the West End (theatres) Covent Garden (Royal Opera and shopping) and Soho, and perhaps 40 from Kings Cross and east London. <br /><br />There are lovely shops in the neighborhood, an incredible organic/free range butchers, a French cafe for croissants an",https://a0.muscache.com/pictures/25874231/c7b490c9_original.jpg,9498111,https://www.airbnb.com/users/show/9498111,Orlando,2013-10-18,"London, United Kingdom","I am an actor, musician, and teacher living in London, but traveling quite a lot with my band and acting work. 
I love music, books, theater, learning, walking in the hills, swimming in the ocean, cycling, yoga, meditation, feasting, very dark chocolate, laughter, good conversation, and too many other things to list here.

I love having friends stay at my place and helping them to discover this fantastic city. I've lived in London a long time and go out to a lot of music and theater so can recommend quite a few interesting places to visit.
We have a nice, big kitchen at home so enjoy cooking together and having friends round for dinner but the flat is not a party scene. 
The apartment building itself is a lovely, peaceful mansion block backing onto green space. 

 ",within an hour,100%,0%,f,https://a0.muscache.com/im/users/9498111/profile_pic/1442867258/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/9498111/profile_pic/1442867258/original.jpg?aki_policy=profile_x_medium,,1.0,2.0,"['email', 'phone']",t,t,"London, United Kingdom",Hammersmith and Fulham,,51.4908,-0.21348,Private room in rental unit,Private room,2,,2 shared baths,,1.0,"[""Heating"", ""Wifi"", ""Refrigerator"", ""Kitchen"", ""Dryer"", ""Coffee maker"", ""Washer"", ""Breakfast""]",90.0,14,1125,14.0,14.0,1125.0,1125.0,14.0,1125.0,,t,15,45,75,350,2023-09-06,46,0,0,2014-07-07,2020-04-16,4.65,4.68,4.5,4.93,4.93,4.84,4.57,,f,1,0,1,0,0.41
3743929,https://www.airbnb.com/rooms/3743929,20230906022807,2023-09-06,city scrape,Condo in London · ★4.46 · 2 bedrooms · 3 beds · 1.5 baths,"We so look forward to welcoming you to our little home in West London. The apartment is very quiet and welcoming, in a lovely part of this fabulous city on good transport links to the Centre of London, and near parks and walks ideal for families and children. The area is safe, calm and clean with a friendly local community. There is a free parking space. IMPORTANT: this is subject to availability and agreement with the owner prior to booking, as it is not always available... please enquire!<br /><br /><b>The space</b><br />Bright, airy apartment in modern residence. Warm, welcoming and in superb West London location. Sleeps 6. With lounge/diner with double sofa-bed, dining seating for 6, flat screen TV (with UK/French channels), WIFI, fully fitted kitchen, 2 bedrooms<br /><br />The apartment is in a fantastic family-friendly location - extremely quiet and very safe but a stone's throw from public transport and just 20 minutes from Oxford Circus.<br /><br />Full use of apartment facilit","A calm, quiet part of West London, extremely safe and ideal for couples and families alike. Fantastic local parks with playgrounds for the children, and ideally situation for transport links into the centre of London and elsewhere.",https://a0.muscache.com/pictures/0ab113c8-4df3-405d-a1cb-e7817a7359d1.jpg,14145746,https://www.airbnb.com/users/show/14145746,Lorraine,2014-04-11,"London, United Kingdom","Nous sommes une famille anglo-irlandaise qui ont vécu à La Rochelle depuis 2003. Nous gérons l'hébergement de vacances à La Rochelle, une superbe ville pour les touristes et ceux qui cherchent à s'éloigner de l'agitation de la vie. Aujourd'hui nous passons plusieurs mois chaque année à Londres ou nous gérons aussi un appartement dans un emplacement idéal 20 minutes par métro du centre-ville et loué pour les locations à courte durée. En outre, nous sommes des musiciens et nous chantons, écrivons et jouons ensemble dans un groupe de folk moderne, The Portraits.

We are an Anglo-Irish family who have been living in La Rochelle since 2003. We manage holiday accommodation here, in a super town for tourists and those seeking to get away from the bustle of life. We also spend several months each year in London where we manage another apartment which we rent short term. In addition, we are musicians and we sing, write and play together in a band called The Portraits.",within an hour,100%,83%,f,https://a0.muscache.com/im/users/14145746/profile_pic/1397209318/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/14145746/profile_pic/1397209318/original.jpg?aki_policy=profile_x_medium,Shepherd's Bush,8.0,9.0,"['email', 'phone']",t,t,"London, United Kingdom",Hammersmith and Fulham,,51.50356,-0.2528,Entire condo,Entire home/apt,4,,1.5 baths,2.0,3.0,"[""Shampoo"", ""Dryer"", ""Microwave"", ""Self check-in"", ""High chair"", ""Hot water"", ""Iron"", ""Lockbox"", ""Crib"", ""Washer"", ""Fire extinguisher"", ""Heating"", ""Children\u2019s books and toys"", ""Free parking on premises"", ""Oven"", ""Refrigerator"", ""TV"", ""Hair dryer"", ""Essentials"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Wifi"", ""Smoke alarm"", ""Kitchen"", ""Hangers"", ""Dedicated workspace"", ""Pack \u2019n play/Travel crib""]",73.0,180,1125,180.0,180.0,1125.0,1125.0,180.0,1125.0,,t,0,16,46,321,2023-09-06,36,0,0,2014-09-02,2020-04-26,4.46,4.6,4.46,4.71,4.71,4.46,4.51,,f,1,1,0,0,0.33
5873080,https://www.airbnb.com/rooms/5873080,20230906022807,2023-09-06,city scrape,Home in London · ★4.0 · 1 bedroom · 1 bed · 1 bath,"Park opposite of the house has Tennis Cts, a Lido open Swimming pool, Gym n is  linked to the Green Chain. The house has Garden, kitchen, wifi, etc. Shops, bus stops and other facilities around the corner. Small room also available here.",,https://a0.muscache.com/pictures/73164702/ae8b14fc_original.jpg,5403988,https://www.airbnb.com/users/show/5403988,Nena & Jorge,2013-03-10,"London, United Kingdom","We are a married couple (YU/UK & Mexico) and love traveling, walking, green areas and woods, villages, etc...and/or anything to do with discovering new places, people, food, music...
 I teach English as a Foreign Language and my husband loves music and plays guitar. 
 Welcoming and flexible, we like helping and guiding our guests, although we respect if you want to have privacy or have a nice rest.
'Mi Casa...Su Casa...'; so we hope you will fill at home here. 
We really mean it.
By the way...you can use whatever is at the house; so feel free if you want to use the washer, the kitchen, living room, garden, etc.
Hope to see you very soon!  
Nena and Jorge.

",within a few hours,100%,,f,https://a0.muscache.com/im/users/5403988/profile_pic/1429640468/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/5403988/profile_pic/1429640468/original.jpg?aki_policy=profile_x_medium,RB of Greenwich,8.0,9.0,"['email', 'phone']",t,t,,Greenwich,,51.4756,0.03706,Private room in home,Private room,1,,1 bath,,1.0,"[""Heating"", ""First aid kit"", ""Wifi"", ""Shampoo"", ""Free parking on premises"", ""Smoke alarm"", ""Kitchen"", ""Washer"", ""Bed linens"", ""Essentials""]",35.0,1,1125,1.0,1.0,1125.0,1125.0,1.0,1125.0,,t,0,0,0,0,2023-09-06,6,0,0,2015-08-01,2020-04-12,4.0,4.0,3.83,4.5,4.33,3.83,4.0,,f,3,0,3,0,0.06
6051752,https://www.airbnb.com/rooms/6051752,20230906022807,2023-09-07,previous scrape,Townhouse in London · ★4.96 · 1 bedroom · 1 bed · 1 shared bath,"Newly refurbished this double room had been decorated to a high standard. There is a large wardrobe, desk, comfortable bed and your own bathroom immediately outside the room .<br /><br /><b>The space</b><br />Since this is newly refurbished everything including the bed and mattress are brand new. It has been decorated artistically and is very spacious  with a large wardrobe. <br />There is a shower bath which you will have sole use of except on certain select occasions.<br /><br /><b>Guest access</b><br />The room, kitchen, living area, garden.<br /><br /><b>During your stay</b><br />I'm available on most evenings except when out playing badminton ( you are welcome to join me!). I enjoy a chat or sharing a meal but give my guests all the space they need to have a good holiday. Happy to share details of my favourite places in London with you .<br /><br /><b>Other things to note</b><br />Please note check in time is after 2 pm and checkout before 10 am. I’m happy to accommodate early che","The house is in a quiet and neighbourly area with a tree lines pedestrian only path in front of the house which leads to Stave Hill and the ecological park. The latter is a beautiful green space where joggers, dog walkers, bootcampers and birdwatchers enjoy their natural surroundings. <br /><br />A large Tesco and Sainsbury's supermarket are within 10 min walking distance. A few nice restaurants are nearby. Bowling and the cinema are also within 10 min walk. The nightlife areas of Bond Street, London Bridge, Canary Wharf are all within 20 min by the tube. Free on street parking if you want to drive . <br /><br />Two historic and picturesque English style pubs are within 5-10 min walk where you can enjoy a drink or and meal by the riverside: o ne of my favourite things to do on summer evenings.o",https://a0.muscache.com/pictures/d97b8286-ffd2-4374-858b-8e338fb1b819.jpg,30054117,https://www.airbnb.com/users/show/30054117,Surabhi,2015-03-26,"Edinburgh, United Kingdom",I'm a doctor and artist. Love to travel and love meeting new people.,,,,f,https://a0.muscache.com/im/users/30054117/profile_pic/1427391721/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/30054117/profile_pic/1427391721/original.jpg?aki_policy=profile_x_medium,,5.0,7.0,"['email', 'phone']",t,t,"London, England, United Kingdom",Southwark,,51.50206,-0.04124,Private room in townhouse,Private room,2,,1 shared bath,,1.0,"[""Shampoo"", ""Luggage dropoff allowed"", ""Microwave"", ""Coffee maker"", ""Self check-in"", ""Bed linens"", ""Hot water"", ""Iron"", ""First aid kit"", ""Lockbox"", ""Washer"", ""Fire extinguisher"", ""Cooking basics"", ""Patio or balcony"", ""Heating"", ""Dishwasher"", ""Lock on bedroom door"", ""Free street parking"", ""Oven"", ""Refrigerator"", ""Hair dryer"", ""Essentials"", ""Stove"", ""Backyard"", ""Extra pillows and blankets"", ""Wifi"", ""Dishes and silverware"", ""Smoke alarm"", ""Kitchen"", ""Hangers""]",40.0,2,1125,2.0,2.0,1125.0,1125.0,2.0,1125.0,,t,0,0,0,0,2023-09-07,71,0,0,2017-07-02,2020-04-01,4.96,5.0,4.94,4.97,5.0,4.92,5.0,,f,3,1,2,0,0.94
6254542,https://www.airbnb.com/rooms/6254542,20230906022807,2023-09-07,previous scrape,Rental unit in London · ★4.77 · 1 bedroom · 1 bed · 1.5 baths,"Within a new build development, this quiet studio flat is on the doorstep of Borough Market and up & coming Bermondsey. It is also one minute from Borough tube station. Other conveniences are concierge, Tesco Express (groceries) on the ground floor and Soho Gym just next door.<br /><br /><b>The space</b><br />SPACE | Well located modern, private studio flat on the 3rd floor within a new build development (with lift access). <br /><br />Bright sunny aspect with the windows overlooking the quiet neighbouring back gardens. The kitchenette (two hobs, fridge and an oven) is fully equipped. A washer and drying rack is available too. <br /><br />There is a chaise longue and pouf to relax on whilst watching TV. There are a couple of bar stools and a small desk/shelf space available for working on. The bed size is a small double, perfect for one or a couple. As the space is all yours, it feels just like home. <br /><br />YOUR HOST | Young friendly creative who loves good wine, dinner parties an","EATERIES, WATERING HOLES | Far too much to choose from, a brief selection below:<br /><br />-40 Maltby Street: seasonal wine & food menu<br />-Bermondsey Arts Club: basement drinking hole<br />-Neal's Yard: artisanal cheeses to take away<br />-Monmouth: craft coffee<br />-Jose Pizzaro: spanish food offering<br />-Franca Manca: sourdough pizzas<br />-Borough Market: crazy variety of food stalls & suppliers<br />-Shangri-La, The Shard: for afternoon tea & views",https://a0.muscache.com/pictures/ee94f317-5bb3-40ec-b78f-b92669370bbd.jpg,7527363,https://www.airbnb.com/users/show/7527363,Anne,2013-07-16,"London, United Kingdom","A thirty something creative who lives locally in Shoreditch seeking out unusual properties when travelling myself, a home away from home. Can't live without Allpress coffee, Sager+Wilde - local wine bar on Hackney Road, dinner parties & a cold Christmas. 

Love and respect a good home, as do all that visit.


",,,,f,https://a0.muscache.com/im/pictures/user/7009b551-ebce-423c-81d6-e2468844fa64.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/7009b551-ebce-423c-81d6-e2468844fa64.jpg?aki_policy=profile_x_medium,,1.0,1.0,"['email', 'phone']",t,t,"London, United Kingdom",Southwark,,51.50209,-0.0904,Entire rental unit,Entire home/apt,2,,1.5 baths,1.0,1.0,"[""Heating"", ""Stove"", ""Elevator"", ""Hot water"", ""Hair dryer"", ""Iron"", ""Washer"", ""TV with standard cable"", ""Oven"", ""Refrigerator"", ""Smoke alarm"", ""Kitchen"", ""Hangers"", ""Essentials"", ""Cooking basics""]",75.0,3,30,3.0,3.0,30.0,30.0,3.0,30.0,,t,0,0,0,0,2023-09-07,65,0,0,2015-05-20,2020-04-07,4.77,4.86,4.86,4.69,4.78,4.89,4.8,,f,1,1,0,0,0.64
6721584,https://www.airbnb.com/rooms/6721584,20230906022807,2023-09-06,city scrape,Rental unit in London · ★4.72 · 3 bedrooms · 4 beds · 2 baths,"• PLEASE READ MY HOUSE RULES BEFORE BOOKING<br /><br />• NO PARTIES<br />• High spec 2/3 bed 1,400² ft luxury apartment in 17th century Grade II listed building <br />• Business-ready with desk+ 27"" iMac<br />• Massive 600² ft front room<br />• 2 bathrooms<br />• In Historical Square Mile <br />• Next to Tower of London / Tower Hill Tube<br />• Aldgate / Bank / Monument / London Bridge / Tower Gateway / Fenchurch st/ Liverpool st stations<br />• Easy connection to airports<br />• Early check ins/late check outs available for a fee (read House Rules)<br /><br /><b>The space</b><br />This vast (1400+sq ft) classic flat within a Grade II listed building in the heart of the Square Mile in the City of London is made for relaxing and entertaining. Neutrally and tastefully furnished, featuring a truly huge 600sq ft front room (7x8m) that can serve as a third bedroom if you prefer to sleep separately or as a huge lounge with the sofa beds closed, 14' high ceilings and hardwood floors throughou",,https://a0.muscache.com/pictures/83ad7fa9-c4bc-4aa6-978d-0273e8789324.jpg,14938057,https://www.airbnb.com/users/show/14938057,Yan,2014-04-30,Gibraltar,"Since a young age I developed an unquenchable thirst for travel, and to this day my work regularly takes me to amazing, exotic places around the globe - hence, when I'm away, I sometimes offer my space to respectful and considerate guests who will treat it as they would their own home.
Hospitality is in my culture so always expect a warm and responsive host who appreciates the value of finding a comfortable home away from home and strives to offer the same to his guests. ",,,,f,https://a0.muscache.com/im/pictures/user/c604f0ba-ab9e-42b0-89a3-2f76670bbd4f.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/c604f0ba-ab9e-42b0-89a3-2f76670bbd4f.jpg?aki_policy=profile_x_medium,City of London,1.0,6.0,"['email', 'phone', 'work_email']",t,t,,Tower Hamlets,,51.50989,-0.07813,Entire rental unit,Entire home/apt,6,,2 baths,3.0,4.0,"[""Bathtub"", ""Shampoo"", ""Dryer"", ""Coffee maker"", ""Bed linens"", ""Cleaning available during stay"", ""Hot water"", ""Iron"", ""Host greets you"", ""First aid kit"", ""Paid parking off premises"", ""Washer"", ""Cooking basics"", ""Heating"", ""Dishwasher"", ""Oven"", ""Refrigerator"", ""TV"", ""Hair dryer"", ""Essentials"", ""Private entrance"", ""Long term stays allowed"", ""Stove"", ""Carbon monoxide alarm"", ""Extra pillows and blankets"", ""Wifi"", ""Dishes and silverware"", ""Smoke alarm"", ""Kitchen"", ""Hangers""]",304.0,3,1123,1.0,3.0,1125.0,1125.0,3.0,1125.0,,t,22,39,39,39,2023-09-06,181,0,0,2015-06-29,2020-04-10,4.72,4.75,4.76,4.88,4.94,4.88,4.65,,t,1,1,0,0,1.81
7943504,https://www.airbnb.com/rooms/7943504,20230906022807,2023-09-06,city scrape,Home in Ilford · ★4.71 · 1 bedroom · 1 bed · 1 shared bath,"Please note: Additional features to this property is the  RING Door Bell at both Front & Back of the property.<br />This is a cozy single room overlooking the front of the house. With a single bed, a single door wardrobe with 2 shelves and a bedside cabinet, central heating.<br />Wifi available throughout the household.<br /><br /><b>The space</b><br />It's with a Cozy  Comfortable single bed<br /><br /><b>Guest access</b><br />Kitchen utensils Microwave,kettle.  Note: there’s a £10.00 charge for laundry & Cleaning per week.  With One wash incl<br /><br /><b>During your stay</b><br />I am always available to offer my assistance throughout your stay you can call or message me anytime.<br /><br /><b>Other things to note</b><br />Please note there's a £10.00 charge for amenities per week for Wash & Cleaning.","Very quiet neighbourhood, we are a 5 min walk from the Imfamous Valentine's Park and 15 min train journey to the famous Shopping Mall Westfields Stratford and the Olympic park respectfully.",https://a0.muscache.com/pictures/111182677/f2273387_original.jpg,28333960,https://www.airbnb.com/users/show/28333960,Omotade,2015-02-25,"Ilford, United Kingdom","I am a young at hart middle age woman with my catwho loves to meet people from all around the world, I have various hobbies which I do with my family
 Family Hobbies: Swimming, Volleyball, Cooking, Dancing, Learning foreign languages, Socialising, Theatre, and traveling I love the sun",within an hour,100%,75%,f,https://a0.muscache.com/im/pictures/user/9c063de4-59bd-4fea-b817-321802ef2797.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/9c063de4-59bd-4fea-b817-321802ef2797.jpg?aki_policy=profile_x_medium,LB of Redbridge,2.0,3.0,"['email', 'phone']",t,t,"Ilford, United Kingdom",Redbridge,,51.56964,0.07903,Private room in home,Private room,1,,1 shared bath,,1.0,"[""Bathtub"", ""Hot water kettle"", ""Microwave"", ""Bed linens"", ""Private backyard \u2013 Fully fenced"", ""Cleaning available during stay"", ""Hot water"", ""Iron"", ""Host greets you"", ""First aid kit"", ""Security cameras on property"", ""Fire extinguisher"", ""Drying rack for clothing"", ""Free street parking"", ""Ethernet connection"", ""Hair dryer"", ""Essentials"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Central heating"", ""Cleaning products"", ""Wifi"", ""Smoke alarm"", ""Hangers""]",27.0,3,190,3.0,3.0,190.0,190.0,3.0,190.0,,t,5,35,37,307,2023-09-06,32,0,0,2015-10-15,2020-04-21,4.71,4.77,4.9,4.87,4.81,4.32,4.68,,f,2,0,2,0,0.33
10571604,https://www.airbnb.com/rooms/10571604,20230906022807,2023-09-07,previous scrape,Home in London · ★4.76 · 1 bedroom · 1 bed · 1.5 shared baths,"This bright and clean room is in a home with a garden, shared with a friendly live-in 'land-lady' in her 30s (me). The room is available for parts of the year when not being used by friends or family.<br /><br />The house is in a quiet residential area, 10mins walk from Kennington tube (5min tube journey from Waterloo).<br /><br /><b>The space</b><br />This bright, clean room is on the first floor of my very homely home. Available for female (single occupancy) guests only. <br /><br />This light double room includes a chest of drawers and clothing rail space for your things. There's also lots of storage under the bed and large shelves for anything you need. It has a large window looking out onto our private garden.<br /><br />The bathroom is shared with me. It has a great power shower. I typically use it between 7 and 8am and just before bed and typically never for very long! The toilet is a second room so you don't need to wait for anyone to finish in the bathroom!<br /><br />I study ","Kennington is a rather quiet, residential area and yet is a short tube journey (Zone 2) from central London and all it has to offer!<br /><br />We have lots of very nice, local pubs within a 5-10minute walk. Our favourite is the Old Red Lion which does a great brunch and Sunday roast and has live music during the week. There are also plenty of nice and affordable restaurants and cafes nearby.<br /><br />If you would like to cook in the house, we are a 5minute walk from a Tesco, a Marks & Spencers and a Morrisons so take your pick!<br /><br />If you like to run, there are lots of nice parks nearby.",https://a0.muscache.com/pictures/7ee989ee-77e1-4e11-862d-a87ccc36f2fb.jpg,1596330,https://www.airbnb.com/users/show/1596330,Hannah,2012-01-11,"London, United Kingdom",Hello! I'm Hannah and I live in London and work in international development. I enjoy travelling and exploring local sites.,,,,f,https://a0.muscache.com/im/pictures/user/89d30bf6-f275-464a-aa0f-203b9ba08edd.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/89d30bf6-f275-464a-aa0f-203b9ba08edd.jpg?aki_policy=profile_x_medium,Walworth,1.0,2.0,"['email', 'phone', 'work_email']",t,t,"London, United Kingdom",Southwark,,51.48416,-0.10051,Private room in home,Private room,1,,1.5 shared baths,,1.0,"[""Heating"", ""Hair dryer"", ""Iron"", ""Washer"", ""Carbon monoxide alarm"", ""First aid kit"", ""Wifi"", ""Shampoo"", ""Refrigerator"", ""Smoke alarm"", ""Kitchen"", ""Hangers"", ""Essentials"", ""Fire extinguisher""]",40.0,3,60,3.0,3.0,60.0,60.0,3.0,60.0,,t,0,0,0,0,2023-09-07,17,0,0,2016-01-28,2020-04-25,4.76,4.94,4.71,4.88,4.94,4.88,4.94,,f,1,0,1,0,0.18
10883583,https://www.airbnb.com/rooms/10883583,20230906022807,2023-09-06,city scrape,Rental unit in London · ★4.93 · 1 bedroom · 1 bed · 1 private bath,"100 metres from Broadway Market & London Fields, located in the heart of Hackney. Incredible markets, cafes, parks, canals, bars, galleries, and a Lido just 5 minutes away. The flat is new, warm, dry, quiet and spacious, we love it.<br /><br /><b>The space</b><br />It is a two bedroom flat, with open plan kitchen - lounge area, a balcony on the fourth floor, with south facing views of the London skyline and London Fields park. The flat is dry, quiet and at an ambient temperature. It is furnished with modern decor that encourages relaxation and sociability. There is a private bathroom for guests.<br /><br /><b>Guest access</b><br />Guests may access their designated room, bathroom and the kitchen lounge area and balcony. Hosts bedroom is out of bounds.<br /><br /><b>During your stay</b><br />We will be staying in the flat, and around most evenings. We want you to feel welcome and comfortable within the shared living area. There is no expectation for you to be constantly sociable, or to ","Broadway Market, London Fields, sports facilities, cafes, great shops,and restaurants. Close to E5 Bakehouse, Pavilion Bakery, Dandy Cafe, Ellory restaurant, Poco restaurant/bar, Hill and Schrok butchers, Lardo restaurant, Lanark coffee. Walking distance to Shoreditch, Red Church Street, Columbia Road, Dalston, Clapton, Chatsworth Road market, and Homerton where you will find the amazing 46b espresso hut!",https://a0.muscache.com/pictures/b9027478-e4f1-4a4a-a438-f4f015ce9259.jpg,56392105,https://www.airbnb.com/users/show/56392105,Eva,2016-01-27,"London, United Kingdom",,within a day,100%,29%,f,https://a0.muscache.com/im/pictures/user/b6499f37-b994-4b4a-9d49-98030a66a9c6.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/b6499f37-b994-4b4a-9d49-98030a66a9c6.jpg?aki_policy=profile_x_medium,Hackney,2.0,3.0,"['email', 'phone']",t,t,"London, Greater London, United Kingdom",Hackney,,51.53651,-0.0597,Private room in rental unit,Private room,2,,1 private bath,,1.0,"[""Heating"", ""Elevator"", ""Hot water"", ""Carbon monoxide alarm"", ""Host greets you"", ""Wifi"", ""Shampoo"", ""Smoke alarm"", ""Dryer"", ""Kitchen"", ""Washer"", ""Hangers"", ""Hair dryer"", ""Essentials""]",60.0,1,1125,1.0,1.0,1125.0,1125.0,1.0,1125.0,,t,0,0,4,261,2023-09-06,61,0,0,2016-04-07,2020-04-30,4.93,4.98,4.95,4.88,4.89,4.93,4.95,,f,1,0,1,0,0.68
