id,listing_url,scrape_id,last_scraped,source,name,description,neighborhood_overview,picture_url,host_id,host_url,host_name,host_since,host_location,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_thumbnail_url,host_picture_url,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
512822,https://www.airbnb.com/rooms/512822,20230906022807,2023-09-06,city scrape,Rental unit in London · ★4.86 · 1 bedroom · 1 bed · 1 bath,"<b>The space</b><br />Sunny, spacious, stylish 1 bedroom, ground floor, Victorian conversion flat in conservation area near Highgate. <br /><br />A 10 minute walk from Archway station (Northern line), with many bus links.<br />High ceilings, large front facing bay window, with a small amount of stairs going up to the bedroom, and ensuite bathroom.<br /><br />Contemporary flat with a nice mixture of modern, and retro, on a quiet leafy street. Restaurants and pubs within a 10 min. walk. Corner grocery and newsagent shop 3 minutes away.<br /><br />Three rooms of approximate equal size with folding doors, which can either be used to divide the rooms, or left open plan. <br />Living room is equipped with flat screen TV, and DVD plus blue ray player. I-pod, and i-phone dock.<br /><br />Washing machine, Wi fi, bath and shower, central heating.<br /><br />Within walking distance to Hampstead Heath, Crouch End, Highgate, and Archway, as well as local supermarkets, restaurants, banks, bars and c","Quiet neighbourhood. Hard to believe you're in the city.<br />Very close to Hampstead Heath, Highgate, and Crouch End.",https://a0.muscache.com/pictures/miso/Hosting-512822/original/1c5f2ee8-26d9-4993-98f0-fca48d039c1e.jpeg,2525344,https://www.airbnb.com/users/show/2525344,Michele,2012-06-02,"London, United Kingdom","I like art, design, and photography, and interesting things.
I've traveled around Europe, South East Asia, as well as Japan, Morocco, Canada (where
I'm originally from), as well as some parts of the US.
I'm both an accommodating host and guest.
All the guests who have stayed in my apartment, have been very happy with it.
This is the first time I've listed my property on this site, so unfortunately there aren't any reviews listed.",within a day,100%,0%,f,https://a0.muscache.com/im/users/2525344/profile_pic/1441530993/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/2525344/profile_pic/1441530993/original.jpg?aki_policy=profile_x_medium,LB of Islington,1.0,1.0,"['email', 'phone']",t,t,"London, United Kingdom",Islington,,51.57295,-0.13274,Entire rental unit,Entire home/apt,2,,1 bath,1.0,1.0,"[""Heating"", ""Iron"", ""Washer"", ""Wifi"", ""TV"", ""Kitchen"", ""Hangers"", ""Essentials""]",100.0,14,90,14.0,14.0,90.0,90.0,14.0,90.0,,t,23,49,72,261,2023-09-06,8,0,0,2012-11-11,2020-08-22,4.86,5.0,4.71,5.0,5.0,4.71,4.71,,f,1,1,0,0,0.06
535284,https://www.airbnb.com/rooms/535284,20230906022807,2023-09-07,previous scrape,Rental unit in London · ★4.89 · 1 bedroom · 1 bed · 1 bath,"Beautifully decorated, bright first floor flat in an Edwardian conservation street in South Kilburn. Features wooden floors and high ceiling. High speed wi-fi access for your laptop, but no TV. You will have the entire flat to yourself. Very close to excellent transport links.<br /><br /><b>The space</b><br />The bedroom has a double bed, a large wardrobe with chest of drawers, and a stereo. There is free high speed wi-fi access to connect your own smartphone or laptop. <br /><br />Please note that there is no TV in the the flat. The eat-in kitchen is spacious and fine for two or three people. <br />The living room is sparingly furnished with just a sofa and a chest of drawers.<br /><br />About Me:<br />I am 52 year old German who has lived in London for over 20 years. I am now moving out to live with my partner. I am renting the apartment on Airbnb while I am looking for more permanent tenants. <br /><br />I know what it is like to arrive in London for the first time. I'm more than ha","The house is on a quiet residential street.<br />It is 7 mins walk to Kilburn High Road with supermarkets, banks, post office, hotels, restaurants and pubs. <br /><br />The lovely local park, Paddington Recreation Ground has a running track, football and cricket pitches, a gym and some wonderful 'quiet gardens'. The beautiful Queens' Park is also just a short walk away.<br /><br />The street has parking restrictions daytime Monday to Friday. A parking permit can be arranged but please do let me know in advance if you require a permit. Weekend parking is free.",https://a0.muscache.com/pictures/408b5a79-8a26-4170-bb90-98d4a1f017df.jpg,1949799,https://www.airbnb.com/users/show/1949799,Pat,2012-03-18,"London, United Kingdom","I am German and have lived in London since 2000. I came here for a job offer but I now have my own business, a sportswear brand, that I run from home.",,,,f,https://a0.muscache.com/im/pictures/user/bd1d38fd-0202-4928-a897-1759f7f8d592.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/bd1d38fd-0202-4928-a897-1759f7f8d592.jpg?aki_policy=profile_x_medium,,1.0,2.0,"['email', 'phone']",t,t,"London, United Kingdom",Brent,,51.53478,-0.19698,Entire rental unit,Entire home/apt,3,,1 bath,1.0,1.0,"[""Heating"", ""Stove"", ""Hot water"", ""Carbon monoxide alarm"", ""Shower gel"", ""Wifi"", ""Shampoo"", ""Paid parking off premises"", ""Oven"", ""Refrigerator"", ""Smoke alarm"", ""Dryer"", ""Kitchen"", ""Washer"", ""Bed linens"", ""Essentials"", ""Long term stays allowed"", ""Cooking basics""]",65.0,3,1125,3.0,3.0,1125.0,1125.0,3.0,1125.0,,t,0,0,0,0,2023-09-07,64,0,0,2012-09-21,2020-08-01,4.89,4.98,4.95,4.98,4.95,4.66,4.75,,f,1,1,0,0,0.48
604185,https://www.airbnb.com/rooms/604185,20230906022807,2023-09-06,city scrape,Rental unit in London · ★4.94 · 1 bedroom · 1 bed · 1 shared bath,"The room is compact, cosy, clean & tidy but it's not enormous. We are interested in meeting nice guests so we charge reasonably. We are in a great location for many places with a tube close by. London is huge so please check it's where you want to be before you book.  If you are traveling with lots of luggage, we have another room where you can store it. There is an empty wardrobe and chest of drawers for storage in the room. Extras supplied inc water, sweets, eye mask, earplugs, sewing kit etc<br /><br /><b>The space</b><br />IMPORTANT: PLEASE READ ALL BELOW<br /><br />OUR APARTMENT:<br />If you know London you will know this is a super location for access to other parts of this vast city. We have for rent a smallish double room (see photos). The room has been nicely decorated and is on a quite road in a period flat. It's a comfortable room with wifi that would best suit a single traveller who is here to sightsee or for work.<br /><br />Gay friendly <br /><br />CHECK IN: <br />당신이 도착할","We are close to so many things on the Piccadilly line including museams and art galleries and theatres, nearly always less than 20min away. Its also really easy to get to us from Heathrow. It's a lively and safe area. We live here because we love the location.",https://a0.muscache.com/pictures/65723702/eef25694_original.jpg,2990888,https://www.airbnb.com/users/show/2990888,Marie,2012-07-19,"London, United Kingdom","We are a female couple who love meeting new people. We like travel, food, wine, art, culture and new experiences.",within a few hours,100%,0%,f,https://a0.muscache.com/im/users/2990888/profile_pic/1414426489/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/2990888/profile_pic/1414426489/original.jpg?aki_policy=profile_x_medium,LB of Islington,1.0,2.0,"['email', 'phone']",t,t,"London, United Kingdom",Islington,,51.55262,-0.11528,Private room in rental unit,Private room,2,,1 shared bath,,1.0,"[""Indoor fireplace"", ""Private patio or balcony"", ""Shampoo"", ""Luggage dropoff allowed"", ""Microwave"", ""Coffee maker"", ""Bed linens"", ""Hot water"", ""Iron"", ""Host greets you"", ""First aid kit"", ""Security cameras on property"", ""Paid parking off premises"", ""Washer"", ""Cooking basics"", ""Heating"", ""Dishwasher"", ""TV with standard cable"", ""Lock on bedroom door"", ""Oven"", ""Refrigerator"", ""Hair dryer"", ""Essentials"", ""Long term stays allowed"", ""Stove"", ""Carbon monoxide alarm"", ""Backyard"", ""Wifi"", ""Dishes and silverware"", ""Smoke alarm"", ""Kitchen"", ""Breakfast"", ""Hangers""]",44.0,1,1125,1.0,1.0,1125.0,1125.0,1.0,1125.0,,t,0,0,0,4,2023-09-06,648,0,0,2012-08-08,2020-08-01,4.94,4.95,4.99,4.98,4.96,4.87,4.91,,f,1,0,1,0,4.8
605812,https://www.airbnb.com/rooms/605812,20230906022807,2023-09-06,city scrape,Rental unit in London · ★4.88 · Studio · 2 beds · 1 bath,"Spacious & open plan boho warehouse studio apartment in the heart of happening Hackney. Perfect short stay for solo guests & couples, whether working, or on a leisure trip. Great value private flat with a separate entrance. <br />One of London's most colourful areas. City & West End 30 minutes by train. Great local bars and restaurants within a few minutes walk. <br />Potentially available for longer periods.<br /><br /><b>The space</b><br />Open plan studio apartment<br /><br /><b>Guest access</b><br />Plenty of public transport options by bus and overground rail. <br /><br />Nearest trains are Hackney Central Overground (zone 2) which is just 10 mins walk away due south, then 2 stops west to Highbury Islington (Victoria line tube). or 2 stops east to Stratford (Central, Jubillee, and DLR)<br /><br />Or Hackney Downs overground is also less than 10 minutes south west and 2 stops from Liverpool Street Overground main terminus (Central/Circle/Hammersmith & City tubes).<br /><br />There ",East London is the creative side of the city. Hackney is a unique area of London. It is full of all kinds of life. It is also economically and ethnically diverse. That is part of its charm and character.,https://a0.muscache.com/pictures/106085434/69878a0b_original.jpg,2828479,https://www.airbnb.com/users/show/2828479,Simon,2012-07-04,"London, United Kingdom","Film maker, musician, and traveller... 

I've lived in Hackney in east London for over 20 years, and I still delight in the area.  I would encourage anybody to visit this side of London…it's the alternative side, like Kruezberg in Berlin, Williamsburg in NYC, or Christiania in Copenhagen. There's elements of all of those in Hackney. 

I try and travel somewhere exotic once a year or so, ideally with a film-making purpose attached. 

I've been Airbnb'ing for over 10 years, I've met some amazing guests and think it's on the whole a fantastic and worthwhile community.


",within an hour,100%,100%,f,https://a0.muscache.com/im/pictures/user/29d77893-bce7-43f6-99cf-48c7921b7772.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/29d77893-bce7-43f6-99cf-48c7921b7772.jpg?aki_policy=profile_x_medium,LB of Hackney,2.0,3.0,"['email', 'phone']",t,t,"London, United Kingdom",Hackney,,51.55425,-0.05571,Entire rental unit,Entire home/apt,2,,1 bath,,2.0,"[""Free dryer \u2013 In unit"", ""Clothing storage: wardrobe and dresser"", ""Hot water kettle"", ""Laundromat nearby"", ""Private patio or balcony"", ""Free washer \u2013 In unit"", ""Luggage dropoff allowed"", ""Microwave"", ""Self check-in"", ""Dining table"", ""Bed linens"", ""Books and reading material"", ""Blender"", ""Coffee"", ""Hot water"", ""Iron"", ""Lockbox"", ""Record player"", ""Paid parking off premises"", ""Paid parking on premises"", ""Wine glasses"", ""Cooking basics"", ""Dishwasher"", ""Coffee maker: drip coffee maker, french press"", ""Drying rack for clothing"", ""Freezer"", ""Shower gel"", ""Ethernet connection"", ""Free parking on premises"", ""Oven"", ""Refrigerator"", ""TV"", ""Baking sheet"", ""Hair dryer"", ""Essentials"", ""Private entrance"", ""Long term stays allowed"", ""Room-darkening shades"", ""Stove"", ""Carbon monoxide alarm"", ""Central heating"", ""Toaster"", ""Cleaning products"", ""Extra pillows and blankets"", ""Wifi"", ""Dishes and silverware"", ""Smoke alarm"", ""Kitchen"", ""Hangers"", ""Dedicated workspace""]",100.0,30,90,30.0,30.0,90.0,90.0,30.0,90.0,,t,0,11,11,68,2023-09-06,79,0,0,2012-10-03,2020-08-15,4.88,4.95,4.89,4.97,4.93,4.69,4.84,,f,2,2,0,0,0.59
881381,https://www.airbnb.com/rooms/881381,20230906022807,2023-09-07,previous scrape,Bed and breakfast in Twickenham · ★4.25 · 1 bedroom · 1 bed · 1 bath,"<b>The space</b><br />This is a chilled-out place that is quite tranquil, perfect for getting away from the rush of the city. It is perfect for someone who is working locally in the week. <br /><br />It has a lovely kitchen and is bathed in light. <br />There is a double bed in the bedroom and TV and DVD in the living room, along with a sofa bed. <br /><br />There is also free wifi.<br /><br /><b>During your stay</b><br />I am here for all the guests questions and needs.","The neighbourhood is quite and as London goes, feels quite separate from all the hubbub. Twickenham has a beautiful stretch of river and there is a deer park nearby in Teddington.",https://a0.muscache.com/pictures/27418298/c0e7c3cb_original.jpg,1914339,https://www.airbnb.com/users/show/1914339,Peyvand,2012-03-13,"Rome, Italy","Hello — I am based in Rome, where I work for an NGO, but am actually from London (and way before that, Tehran!). 

Am highly sociable, reasonably cultured, have a very strong sense of humour, and am always curious. Have not Airbnb’d for a good while and looking forward to discovering greats places!
 ",,,,f,https://a0.muscache.com/im/pictures/user/6a4c221b-a940-406d-a5a2-8541b626ac37.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/6a4c221b-a940-406d-a5a2-8541b626ac37.jpg?aki_policy=profile_x_medium,,1.0,1.0,"['email', 'phone']",t,t,"Twickenham, United Kingdom",Richmond upon Thames,,51.43909,-0.35643,Private room in bed and breakfast,Private room,1,,1 bath,,1.0,"[""Heating"", ""Wifi"", ""Smoking allowed"", ""TV"", ""Kitchen"", ""Washer""]",17.0,1,1125,1.0,1.0,1125.0,1125.0,1.0,1125.0,,t,0,0,0,0,2023-09-07,8,0,0,2013-02-06,2020-08-29,4.25,4.57,4.57,5.0,4.71,4.29,4.86,,f,1,0,1,0,0.06
995832,https://www.airbnb.com/rooms/995832,20230906022807,2023-09-06,city scrape,Rental unit in London · ★4.91 · 1 bedroom · 2 beds · 1 bath,"Victorian house in central & superb historic conservation area, containing this lovely self contained apartment with private garden.  Perfect for unwinding after a busy day in London and live like a local.  30% OFF monthly lets!<br /><br /><b>The space</b><br />Gorgeous 1 Bed apartment with private garden in Camden.  Victorian Terrace property in a historic conservation area, containing this lovely self contained apartment with super private garden.  Perfect for entertaining, self catering and / or unwinding after a busy day in London so you can live like a local.<br /><br />Comfortably sleeps family of 4 (though ideally for 2) with 1 large double bedroom with brand new King Size bed and brand new mattress from Feather and Black, a very good sofa bed from Marks and Spencer and / or futon mattresses available if necessary.  <br /><br />A short walk from the buzzing markets of Camden, the tranquility of Hampstead Heath and Regents Park, not to mention the zoo and areas like Hampstead and","A short walk from the buzzing markets of Camden, the tranquility of Hampstead Heath and Regents Park, not to mention the zoo and areas like Hampstead and Primrose Hill on the doorstep.<br /><br />Superb transport links to central London - bus, train, underground all less than 10 minutes walk - I easily walk to Soho in under 45 mins!<br /><br />Superb neighbourhood with many great attractions, restaurants and pubs as well as one of the best live music scenes in London.",https://a0.muscache.com/pictures/17109988/e43aa466_original.jpg,3043331,https://www.airbnb.com/users/show/3043331,Geoffrey And Vicky,2012-07-24,"London, United Kingdom","I am an actor and my wife Victoria is a primary school teacher, so we have lots of holiday time to fill with our twin daughters Willow and Eliza (aged 4) and little boy Cosmo (6 months).  

We love theatre (Jerusalem, Complicite, RSC, Cheek by Jowel), film (The Lives of Others, There Will be Blood, Amelie), music (Nick Drake, Bon Iver, John Martyn), good food (I love curry and Vicky loves Japanese), walking and exploring!

We adore travel - Geoffrey's travelled the world for over 2 years and Vicky's worked abroad.  We got engaged in  the Catskills (upstate New York) and married in San Gimignano (Tuscany).  Favourite travel destination, probably Hampi in India - or New York where Geoffrey studied acting.

We love to host and have a private self contained apartment with garden in central London listed on airbnb...we love to give tips about London and being from Scotland and North Yorkshire can give tips on the rest of the country too...
 
Hope to hear from you and look forward to hosting you or staying with you!

Best wishes

Geoffrey, Victoria, Cosmo, Willow and Eliza x",within a day,100%,,f,https://a0.muscache.com/im/users/3043331/profile_pic/1363600252/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/3043331/profile_pic/1363600252/original.jpg?aki_policy=profile_x_medium,LB of Camden,1.0,2.0,"['email', 'phone']",t,t,"London, United Kingdom",Camden,,51.54864,-0.13585,Entire rental unit,Entire home/apt,4,,1 bath,1.0,2.0,"[""Indoor fireplace"", ""Shampoo"", ""Dryer"", ""Microwave"", ""Self check-in"", ""Private backyard \u2013 Fully fenced"", ""High chair"", ""Hot water"", ""Iron"", ""First aid kit"", ""Lockbox"", ""Crib"", ""Paid parking off premises"", ""Outdoor furniture"", ""Washer"", ""Fire extinguisher"", ""Cooking basics"", ""Patio or balcony"", ""Heating"", ""Dishwasher"", ""Children\u2019s books and toys"", ""Oven"", ""Refrigerator"", ""Hair dryer"", ""Essentials"", ""Long term stays allowed"", ""Stove"", ""Carbon monoxide alarm"", ""Wifi"", ""Dishes and silverware"", ""Smoke alarm"", ""Kitchen"", ""Hangers"", ""Dedicated workspace"", ""Pack \u2019n play/Travel crib"", ""HDTV with Netflix, standard cable""]",129.0,180,1125,180.0,180.0,1125.0,1125.0,180.0,1125.0,,t,29,59,89,364,2023-09-06,166,0,0,2013-04-28,2020-08-18,4.91,4.94,4.88,4.98,4.98,4.82,4.86,,f,1,1,0,0,1.32
969284,https://www.airbnb.com/rooms/969284,20230906022807,2023-09-07,previous scrape,Rental unit in London · ★4.79 · 3 bedrooms · 3 beds · 1 bath,"t is within walking distance of the British Museum, Trafalgar Square and Oxford Street. However if you don't feel like going far there are plenty of great restaurants, pubs and shops just a few streets away. Despite the location our flat is very quiet.<br /><br /><b>The space</b><br />t is within walking distance of the British Museum, Trafalgar Square and Oxford Street. However if you don't feel like going far there are plenty of great restaurants, pubs and shops just a few streets away. Despite the location our flat is very quiet. <br /> <br />If the weather is nice there are lots of parks nearby including Russell Square, Lincoln's Inn Fields and Coram's Fields. <br /><br />We have three bedrooms: 2 double bedrooms and 1 single bedroom. There is a kitchen, one bathroom with a shower over the bath and a lounge dining room. <br /><br />The block is not great to look at on the outside but inside we have created a light modern interior. Have a look at the photos and see if it is your sor",,https://a0.muscache.com/pictures/4c392b0f-3ea5-4df0-8a5f-c23758cb4877.jpg,4967186,https://www.airbnb.com/users/show/4967186,Elizabeth,2013-02-04,"London, United Kingdom",I hope all my guests enjoy London as much as I do. ,,,,f,https://a0.muscache.com/im/users/4967186/profile_pic/1362350663/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/4967186/profile_pic/1362350663/original.jpg?aki_policy=profile_x_medium,Bloomsbury,1.0,2.0,"['email', 'phone']",t,t,,Camden,,51.5212,-0.12066,Entire rental unit,Entire home/apt,5,,1 bath,3.0,3.0,"[""Shampoo"", ""Luggage dropoff allowed"", ""Microwave"", ""Hot water"", ""Host greets you"", ""Washer"", ""Cooking basics"", ""Heating"", ""Children\u2019s books and toys"", ""Oven"", ""Refrigerator"", ""Essentials"", ""Long term stays allowed"", ""Stove"", ""Elevator"", ""Carbon monoxide alarm"", ""Wifi"", ""Dishes and silverware"", ""Smoke alarm"", ""Kitchen"", ""Hangers""]",95.0,5,365,5.0,5.0,1125.0,1125.0,5.0,1125.0,,t,0,0,0,0,2023-09-07,31,0,0,2013-04-15,2020-08-19,4.79,4.76,4.66,4.83,4.9,4.83,4.66,,t,1,1,0,0,0.24
1146154,https://www.airbnb.com/rooms/1146154,20230906022807,2023-09-07,previous scrape,Rental unit in London · ★5.0 · 1 bedroom · 1 bed · 1 private bath,"Room with separate bathroom. The ultimate central London location, safe and clean. We are friendly and can give you lots of advice about your visit to London!<br /><br /><b>The space</b><br />The flat is 2 bedroom 2 bathroom, your room has its own bathroom. We live in one bedroom and the other bedroom is the one you would have!<br /><br />Our kitchen/living room opens out into a little garden, lots of summer flowers out at the moment and so is a really nice area to have your morning coffee :-)<br /><br />It is a central London garden/basement flat, so we are lower ground but with a great garden.<br /><br /><b>Guest access</b><br />Just minutes from Pimlico underground, close to huge supermarket and walking distance from many great London attractions.<br /><br />The apartment is fully furnished, and will have everything you need - linen, towels, etc! There is free wi-fi, heating (if needed) or a fan (new and rarely used), washing machine, etc. You are welcome to use everything in the ki","Pimlico is in our opinion the best place to live in London. It is very central, safe and convenient. There are restaurants, supermarkets and cafes all close by. Transport is particularly good with Pimlico tube station around the corner and Victoria station 10 minutes walk away. You are also only 10 minutes walk from the Tate Britain, the Thames, and half an hour from Southbank! I could not recommend this area more to anyone!!",https://a0.muscache.com/pictures/a1abbd41-3c5d-401d-a595-1e8540cbe327.jpg,3825295,https://www.airbnb.com/users/show/3825295,Cherie And James,2012-10-10,"London, United Kingdom","We are a couple who enjoy travelling and exploring new cities.

We have both hosted on Airbnb and been guests. As guests, we would treat your home as we would our home, and would like guests who feel the same! ",,,,f,https://a0.muscache.com/im/users/3825295/profile_pic/1389454978/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/3825295/profile_pic/1389454978/original.jpg?aki_policy=profile_x_medium,Pimlico,1.0,1.0,"['phone', 'work_email']",t,t,"London, United Kingdom",Westminster,,51.48908,-0.13651,Private room in rental unit,Private room,2,,1 private bath,,1.0,"[""Shampoo"", ""Luggage dropoff allowed"", ""Microwave"", ""Coffee maker"", ""Bed linens"", ""Hot water"", ""Iron"", ""Washer"", ""Cooking basics"", ""Heating"", ""Oven"", ""Refrigerator"", ""TV"", ""Hair dryer"", ""Essentials"", ""Stove"", ""Carbon monoxide alarm"", ""Backyard"", ""Wifi"", ""Dishes and silverware"", ""Smoke alarm"", ""Kitchen"", ""Hangers""]",69.0,3,14,3.0,3.0,14.0,14.0,3.0,14.0,,t,0,0,0,0,2023-09-07,25,0,0,2017-07-07,2020-08-06,5.0,4.96,4.96,5.0,5.0,5.0,4.92,,f,1,0,1,0,0.33
1352264,https://www.airbnb.com/rooms/1352264,20230906022807,2023-09-06,city scrape,Rental unit in Greater London · ★4.45 · Studio · 1 bed · 1 bath,"• The apartment is situated near bermondsey station, only 10 min walk<br />• Unless available at time of check-in, access to the flat is ""SELF CHECK IN"". <br />• Once you book the apartment, you will get a ""PIN code"" to access the place.<br /><br /><b>The space</b><br />Come and stay this large studio flat in trendy Bermondsey. <br />My flat is located in the heart of ever evolving Bermondsey, with its thriving restaurant, bar and club scene, art galleries, design studios and boutique shops. A short distance from the City, the Design Museum, Borough Market, Tate Modern and Tower Bridge, it is ideally located to visit some of London's finest sights whilst staying in an up and coming neighbourhood. If you seek Tower Bridge my flat is only moments away.<br />It is ideally situated for the City, West End and Canary Wharf so makes a great base for holidays and weekend breaks, or as a pied-à-terre for those visiting or working in London's business districts.<br /><br />ACCOMMODATION<br />The","Quiet, especially at night for a good night sleep!<br />Walking distance to the famous Tower Bridge, The Tower of London and the River Thames.<br />Very close to the Shard and Central London.<br />Underground station is around 10 minute walk.<br />Tesco supermarket is around the corner (2 min walk)",https://a0.muscache.com/pictures/f5dda0b3-d56a-4c6c-bc78-92fd188d03b9.jpg,3150201,https://www.airbnb.com/users/show/3150201,Matt,2012-08-03,"London, United Kingdom","I'm calm, reasonable, really friendly and out-going person so it will be easy to communicate with me. I am always ready to help out with any questions or problems that might occur.

I'm really looking forward to offer good host experience and I hope I can help you with accommodation in London

Matt",,,0%,f,https://a0.muscache.com/im/users/3150201/profile_pic/1376493630/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/3150201/profile_pic/1376493630/original.jpg?aki_policy=profile_x_medium,Bermondsey,1.0,1.0,"['email', 'phone']",t,t,"Greater London, United Kingdom",Southwark,,51.49894,-0.07245,Entire rental unit,Entire home/apt,3,,1 bath,,1.0,"[""Shampoo"", ""Luggage dropoff allowed"", ""Microwave"", ""Self check-in"", ""Bed linens"", ""Hot water"", ""Iron"", ""First aid kit"", ""Paid parking off premises"", ""Washer"", ""Cooking basics"", ""Heating"", ""Keypad"", ""Refrigerator"", ""TV"", ""Hair dryer"", ""Essentials"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Wifi"", ""Dishes and silverware"", ""Smoke alarm"", ""Kitchen"", ""Hangers""]",120.0,4,1125,4.0,4.0,1125.0,1125.0,4.0,1125.0,,t,5,10,10,10,2023-09-06,97,0,0,2013-09-19,2020-08-28,4.45,4.62,4.15,4.78,4.89,4.53,4.46,,f,1,1,0,0,0.8
3574111,https://www.airbnb.com/rooms/3574111,20230906022807,2023-09-06,city scrape,Rental unit in London · ★4.87 · Studio · 1 bed · 1.5 baths,"Affordable self contained & self catering studio, in the sought after area of  Barons Court (W14) an ideal base for exploring London, situated close to Barons Court Tube (great for Heathrow), meters from Queens Club. Perfect for 1, or 2  people (3max).<br /><br /><b>The space</b><br />This delightful large, affordable self contained & self catering double studio on the ground floor of this period Victorian house in Barons Court (W14).  An ideal base for exploring London, situated close to Barons Court Tube (District & Piccadilly line-great for Heathrow), meters from Queens Club (LTA Tennis Aegon Championships). You can enjoy all the comforts of home, we are an ideal establishment for both leisure and business breaks, where privacy and comfort are a number one priority and free Wi Fi comes as standard. Perfect for 1 to 2 people can sleep 3.<br /><br />The large studio is fully self contained and as such you will have ""free reign"" over the place.There is a fully fitted kitchen including ","Barons Court is situated in West London, within the Borough of Hammersmith & Fulham. It is close to the River Thames (with a 17th century River Pub), the Queen’s Club is only 40 to 50 meters away which holds the annual LTA Tennis Championship before Wimbledon. There is a very unique theatre on the same road in a friendly pub. West Kensington/Barons Court is primarily a residential area consisting mainly of Victorian terraced houses, many of which are subdivided into flats. There are excellent examples of Victorian architecture, with several houses and some entire streets listed. <br />West Kensington/Barons Court is a cosmopolitan enclave, with significant local population diversity.  <br />Local business consists of small shops, offices and restaurants, with the Olympia Exhibition Centre nearby. Indeed, it is the mix of local shops that give the area its character.<br />West Kensington/Barons Court is within easy reach of Earl's Court, and the Broadways of Fulham, Hammersmith, Notting",https://a0.muscache.com/pictures/45057833/e1d8c867_original.jpg,17998091,https://www.airbnb.com/users/show/17998091,Mia,2014-07-12,"London, United Kingdom","I have been providing and hosting holiday rentals in the Barons Court/West Kensington area since 2010, during these years I have come to understand and appreciate what holiday makers & business travellers like and expect from a short term rental. I have provided almost every possible item, service you could possibly need to make your stay a comfortable and enjoyable one. I like to meet my guests to check them in, so we can both put a face to a name and to ensure that you would be happy staying here.
I look forward to hearing from you, All the best Mia",within an hour,100%,100%,f,https://a0.muscache.com/im/users/17998091/profile_pic/1405179265/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/17998091/profile_pic/1405179265/original.jpg?aki_policy=profile_x_medium,Hammersmith,1.0,1.0,"['email', 'phone']",t,t,"London, United Kingdom",Hammersmith and Fulham,,51.48794,-0.21253,Entire rental unit,Entire home/apt,2,,1.5 baths,,1.0,"[""Heating"", ""Stove"", ""Hot water"", ""Hair dryer"", ""Iron"", ""Washer"", ""Carbon monoxide alarm"", ""Host greets you"", ""Wifi"", ""Dishes and silverware"", ""Paid parking off premises"", ""Luggage dropoff allowed"", ""TV"", ""Smoke alarm"", ""Kitchen"", ""Hangers"", ""Essentials"", ""Long term stays allowed"", ""Fire extinguisher""]",99.0,3,1125,3.0,3.0,1125.0,1125.0,3.0,1125.0,,t,1,2,2,20,2023-09-06,31,0,0,2014-08-15,2020-08-31,4.87,4.9,4.83,5.0,5.0,4.87,4.87,,t,1,1,0,0,0.28
