id,listing_url,scrape_id,last_scraped,source,name,description,neighborhood_overview,picture_url,host_id,host_url,host_name,host_since,host_location,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_thumbnail_url,host_picture_url,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
1590818,https://www.airbnb.com/rooms/1590818,20230906022807,2023-09-07,previous scrape,Rental unit in London · ★4.93 · 2 bedrooms · 2 beds · 1 bath,"My newly re-designed apartment is a gem amidst the vibrancy of central Brixton: a haven of exposed brickwork, warm pine floorboards & clear, neat, contemporary lines which extend to the uber modern kitchen and travertine stone clad bathroom. Total surface area of 65 sqm on the Market's doorstep & a 3 min walk to Brixton Underground & Railway station.<br /><br /><b>The space</b><br />My apartment is a spacious two bed located on the second floor of a listed Victorian residential building dating back to the 1880's and crowned with a breathtaking roof garden. It's conveniently located bang in the middle of central Brixton, a mere two minute walk from the Underground and railway stations with links to Oxford Circus in 10 mns and to Victoria in 7 respectively. Whilst Marks & Spencers, Sainsburys and all high street amenities are within a few steps' reach, the beauty of the location is that it's comfortably fitted between both Market Row & Brixton Village and their dizzying array of foodie f","Time Out London have an online guide to Brixton and all there is to do in the neighbourhood:<br /><br />(website hidden)<br /><br />Please note that Brixton Market is made of two different parts:<br /><br />-Market Row is located where my building is (entrance to the left) - personal favourites include Kuku (Persian cafe with delicious cakes and sumptuous lattes), Yum-D (fantastic, authentic Thai food – bring your own wine/beer), Bukowski (US carnivores' haven)<br /><br />-Brixton Village is located across the railway (up on Coldhabour Lane) - personal favourites include Honest Burgers (there's usually a humongous queue), The Agile Rabbit (pizzas & live music), Elephant (tasty and cheap Pakistani curry food), Jalisco (back-to-basics tex-mex: burritos, tacos, salads and margaritas)<br /><br />More details on the market itself:<br /><br />(website hidden)<br /><br />Good pubs in the neighbourhood include The Trinity Arms (on Trinity Gardens, off Brixton Road via Brighton Terrace: (websit",https://a0.muscache.com/pictures/7c5a2e0d-c713-4a2e-8ae7-f8f943c26357.jpg,8485861,https://www.airbnb.com/users/show/8485861,Guillaume,2013-08-28,"London, United Kingdom","A Londoner of 25 years, after all this time I am still making the most of everything the greatest city in the northern hemisphere has on offer, from traditional pubs to evenings of Shakespeare's classics at the Globe theatre, music festivals on the Southbank to contemporary art exhibitions in East London, gigs at the Brixton Academy to street food in Soho etc. - one can never be blasé in London! I'm also a keen traveller, out of the country on a fortnightly basis or so, both in Europe and the Americas - with a marked obsession for Sudamerica (Chile! Brasil!). Food is extremely important to me and one of the perks of being on the road so often - I love recreating in my own kitchen what I've treated my tastebuds to on my travels. I work in publishing so the written word and the arts are  of huge importance to me and a constant source of pleasure, exploration and furthering of knowledge. Socialising in another huuuuge aspect of my life, friends, friends of friends, future friends...bring them all under the same roof! I live in one of London's most exciting neighbourhoods and I am very attached to it - as I am to my gorgeous house which I re designed myself and is both a source of pride and a cosy home.",within an hour,100%,89%,f,https://a0.muscache.com/im/pictures/user/83fd5972-a545-47b5-8fcd-c85395a25a66.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/83fd5972-a545-47b5-8fcd-c85395a25a66.jpg?aki_policy=profile_x_medium,Brixton,4.0,4.0,"['email', 'phone', 'work_email']",t,t,"London, United Kingdom",Lambeth,,51.46159,-0.11192,Entire rental unit,Entire home/apt,4,,1 bath,2.0,2.0,"[""Indoor fireplace"", ""Shampoo"", ""Coffee maker"", ""Self check-in"", ""Bed linens"", ""Private backyard \u2013 Fully fenced"", ""Hot water"", ""Iron"", ""Outdoor dining area"", ""Lockbox"", ""Outdoor furniture"", ""Washer"", ""Fire extinguisher"", ""Cooking basics"", ""Heating"", ""Shower gel"", ""Oven"", ""Refrigerator"", ""Hair dryer"", ""Essentials"", ""Stove"", ""Carbon monoxide alarm"", ""Extra pillows and blankets"", ""Wifi"", ""Dishes and silverware"", ""Smoke alarm"", ""Kitchen"", ""Hangers""]",495.0,9,10,9.0,9.0,10.0,10.0,9.0,10.0,,t,0,0,0,0,2023-09-07,100,0,0,2013-09-13,2020-12-14,4.93,4.99,4.92,4.95,4.98,4.84,4.87,,f,4,2,2,0,0.82
3132886,https://www.airbnb.com/rooms/3132886,20230906022807,2023-09-07,previous scrape,Rental unit in London · ★4.84 · 1 bedroom · 1 bed · 1 bath,"The apartment is in located in Whitechapel and is a must if you like to have views of planes, trains, automobiles and helicopters! The apartment belongs to my sister, who’s a Medical Doctor. It is a skip and a hop into central London and a great option for design-minded guests seeking a unique place to stay.<br /><br /><b>The space</b><br />THE APARTMENT<br /><br />I launched as an airbnb host on 12th August 2013 in Cambridge and then began hosting in London on 24th May 2014. I have achieved Superhost status too.<br /><br />I have received 100+ bookings, guests of 39 amazing nationalities and have been a guest many times. It has been a wonderful, life-changing experience.<br /><br />It has one bedroom, is light, airy and has far-reaching views to three sides. There is a re-claimed, hardwood-floor throughout, laid in a French-inspired, herringbone pattern. It is tastefully decorated with plenty of storage, simple, cosy furniture.<br /><br /><b>Guest access</b><br />This is one of eight ","THE LOCATION<br /><br />Durward Street is one street away from the tube/metro, which can whizz you to locations for business or pleasure. There are lots of places to eat and drink a short walk away to buzzy Brick Lane or Spitalfields. Please see the Guidebook I have prepared for you with my recommendations.",https://a0.muscache.com/pictures/miso/Hosting-3132886/original/50a26016-1a85-4840-b376-4f16d9eef73e.jpeg,7954158,https://www.airbnb.com/users/show/7954158,Alejandra,2013-08-05,"Cambridge, United Kingdom","I am an open, friendly and generous person, an architect by profession, also a dancer, yogi, gardener and generally a creative person. I was born in Chile and grew up, from the age of three in the UK. I love meeting people from all over the world, sharing great food, music, chats, books, travelling tales and all the wonderful experiences life brings.",within an hour,100%,86%,t,https://a0.muscache.com/im/users/7954158/profile_pic/1407950951/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/7954158/profile_pic/1407950951/original.jpg?aki_policy=profile_x_medium,Whitechapel/Brick Lane,6.0,7.0,"['email', 'phone']",t,t,"London, United Kingdom",Tower Hamlets,,51.51937,-0.06105,Entire rental unit,Entire home/apt,2,,1 bath,1.0,1.0,"[""Private patio or balcony"", ""Shampoo"", ""Free washer \u2013 In unit"", ""Luggage dropoff allowed"", ""Dryer"", ""Microwave"", ""Coffee maker"", ""Bed linens"", ""Hot water"", ""Iron"", ""Fire extinguisher"", ""Cooking basics"", ""Heating"", ""Free parking on premises"", ""Oven"", ""Refrigerator"", ""TV"", ""Hair dryer"", ""Essentials"", ""Long term stays allowed"", ""Stove"", ""Carbon monoxide alarm"", ""Wifi"", ""Dishes and silverware"", ""Smoke alarm"", ""Kitchen"", ""Breakfast"", ""Hangers"", ""Dedicated workspace""]",100.0,364,365,364.0,364.0,365.0,365.0,364.0,365.0,,t,0,0,0,0,2023-09-07,57,0,0,2014-06-03,2020-12-06,4.84,4.95,4.96,4.95,5.0,4.58,4.8,,f,1,1,0,0,0.51
5430867,https://www.airbnb.com/rooms/5430867,20230906022807,2023-09-07,previous scrape,Rental unit in London · ★5.0 · 1 bedroom · 1 bed · 1 bath,"A cool studio flat located 15 minutes walk/5 minutes bus from Brixton tube station, ideal as a base to explore London, or as a base to commute into Central London from.<br /><br /><b>The space</b><br />The flat itself is a studio, with a combined bedroom/living area. The bed is accessed by a step ladder (it's a little rickety so please be OK with that if you book).<br />There is a small but fully equipped kitchen with pots, pans, crockery & cutlery provided. There is also a bathroom with soap, shampoo & shower gel provided.<br />The flat is very light and catches all of the evening sun, perfect for a nice night in with the board games provided.<br />There is also has a large green outdoor communal area which you will be free to use.<br /><br /><b>Guest access</b><br />You'll have the entire flat to yourself, whilst the pool is shared amongst the residents.<br /><br /><b>Other things to note</b><br />*please note the ladder to get to the bed is rickety - please be comfortable using it t","Brixton is a buzzing neighbourhood in South West London, with many pubs, bars, restaurants & live music venues to choose from. There are also a number of shops on the high street, the Ritzy cinema & Brockwell Park with it's Victorian lido pool, so you won't be short of things to do.",https://a0.muscache.com/pictures/eda767de-d6e9-4dac-9173-3d58ce675fe9.jpg,28171049,https://www.airbnb.com/users/show/28171049,Jack,2015-02-22,"London, United Kingdom",,,,,f,https://a0.muscache.com/im/pictures/user/6fd59034-0c8a-4283-9c8e-310f92c64fda.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/6fd59034-0c8a-4283-9c8e-310f92c64fda.jpg?aki_policy=profile_x_medium,,1.0,1.0,"['email', 'phone']",t,t,"London, United Kingdom",Lambeth,,51.44892,-0.12164,Entire rental unit,Entire home/apt,2,,1 bath,1.0,1.0,"[""Heating"", ""Hot water"", ""Hair dryer"", ""Iron"", ""Carbon monoxide alarm"", ""Pool"", ""Wifi"", ""Shampoo"", ""Smoke alarm"", ""Kitchen"", ""Washer"", ""Essentials"", ""Private entrance"", ""Fire extinguisher""]",64.0,4,1125,4.0,4.0,1125.0,1125.0,4.0,1125.0,,t,0,0,0,0,2023-09-07,3,0,0,2020-09-03,2020-12-21,5.0,5.0,4.67,5.0,5.0,4.67,4.0,,f,1,1,0,0,0.08
7083154,https://www.airbnb.com/rooms/7083154,20230906022807,2023-09-07,previous scrape,Rental unit in London · ★4.83 · 1 bedroom · 1 bed · 1 bath,"Bright and airy one bedroom flat 30 seconds walk from the popular shops and pubs of Hampstead and of course, Hampstead Heath. 1 bedroom with a double bed, 1 bathroom with bath-tub / shower. Newly installed open-plan kitchen with real granite.<br /><br /><b>Other things to note</b><br />Please note, check-in is available from around 1pm. Often, you can check in earlier- just ask! Check-in is possible 7 days a week, 365 days a year.","Hampstead is one of the most exclusive and desirable neighbourhoods in London, just 20 minutes from Central London but having the feel of a relaxed, leafy suburb. Hampstead Heath is London's most beautiful, natural park.",https://a0.muscache.com/pictures/8db38107-2358-45e2-8510-3a7a811d17a3.jpg,15250691,https://www.airbnb.com/users/show/15250691,Antony,2014-05-08,"London, United Kingdom","Born and raised in London, of Italian and Greek-Cypriot origins. Fun, outgoing, friendly guy who loves cooking, music, football, travelling and working out.",,,,f,https://a0.muscache.com/im/users/15250691/profile_pic/1435671871/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/15250691/profile_pic/1435671871/original.jpg?aki_policy=profile_x_medium,Hampstead,1.0,1.0,"['email', 'phone']",t,t,"London, United Kingdom",Camden,,51.55708,-0.16444,Entire rental unit,Entire home/apt,2,,1 bath,1.0,1.0,"[""Bed linens"", ""Hot water"", ""Iron"", ""Paid parking off premises"", ""Washer"", ""Coffee maker: Nespresso"", ""Cooking basics"", ""Heating"", ""Sound system"", ""Dishwasher"", ""Freezer"", ""Ethernet connection"", ""Oven"", ""Refrigerator"", ""TV"", ""Hair dryer"", ""Essentials"", ""Long term stays allowed"", ""Stove"", ""Carbon monoxide alarm"", ""Wifi"", ""Dishes and silverware"", ""Smoke alarm"", ""Kitchen""]",95.0,2,1125,2.0,2.0,1125.0,1125.0,2.0,1125.0,,t,0,0,0,0,2023-09-07,59,0,0,2015-08-08,2020-12-12,4.83,4.9,4.79,4.86,4.98,4.9,4.78,,f,1,1,0,0,0.6
7283114,https://www.airbnb.com/rooms/7283114,20230906022807,2023-09-07,previous scrape,Rental unit in London · ★4.54 · 1 bedroom · 2 beds · 1 bath,"Wonderful flat on the first floor of a triple fronted Georgian building.<br />One bedroom, a living space with a double sofa bed, separate kitchen and bathroom with shower and bath and wooden floors.<br />Ideal for a couple.<br />Self check in through lock box<br /><br /><b>The space</b><br />The space is my home. As an architect and design gallery owner I treasure my place.<br />I hope you will treat it with equal respect too and that you will feel at home.<br /><br /><b>Other things to note</b><br />Please note that check in is self check in.<br />I will leave the keys in a lock box and will give instructions upon check in.","The neighborhood is lovely and very lively.<br />Weekends are especially best for strolling around with Broadway Market, Regents Canal, Columbia Road Flower Market, Haggerston Park and Hackney City Farm just around the corner.<br /><br />Weekdays are very convenient as the flat is so close to the City, Old Street and Liverpool Street.",https://a0.muscache.com/pictures/9962166d-bd89-4d7c-ad31-1a464af7cbc8.jpg,1751920,https://www.airbnb.com/users/show/1751920,Simona,2012-02-14,"London, United Kingdom","Italian, Architect, Cook, Well Traveled, Clean, Fun, Quiet. And generally happy with life!",,,0%,f,https://a0.muscache.com/im/pictures/user/65dcd0ad-db5a-4808-a442-301695ece7ae.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/65dcd0ad-db5a-4808-a442-301695ece7ae.jpg?aki_policy=profile_x_medium,Bethnal Green,3.0,3.0,"['email', 'phone', 'work_email']",t,t,"London, United Kingdom",Tower Hamlets,,51.53046,-0.06874,Entire rental unit,Entire home/apt,2,,1 bath,1.0,2.0,"[""Bathtub"", ""Indoor fireplace"", ""Shampoo"", ""Luggage dropoff allowed"", ""Microwave"", ""Coffee maker"", ""Self check-in"", ""Bed linens"", ""Hot water"", ""Iron"", ""Lockbox"", ""Paid parking off premises"", ""Washer"", ""Cooking basics"", ""Heating"", ""Dishwasher"", ""Pocket wifi"", ""Oven"", ""Refrigerator"", ""Hair dryer"", ""Essentials"", ""Carbon monoxide alarm"", ""Extra pillows and blankets"", ""Wifi"", ""Dishes and silverware"", ""Smoke alarm"", ""Kitchen""]",145.0,30,89,30.0,90.0,1125.0,1125.0,43.4,1125.0,,t,0,0,0,0,2023-09-07,54,0,0,2016-01-10,2020-12-06,4.54,4.73,4.4,4.75,4.73,4.71,4.54,,f,1,1,0,0,0.58
7325054,https://www.airbnb.com/rooms/7325054,20230906022807,2023-09-07,previous scrape,Rental unit in London · ★4.80 · 1 bedroom · 1 bed · 1 bath,"My beautiful apartment provides a comfortable and quiet haven, a stone's throw from all the amenities and eclectic bars and restaurants of one of London's most desirable neighbourhoods.  You are walking distance from 3 large and beautiful parks. <br />You are 3 minutes walk from the tube and rail lines - only 20 -25 minutes to Oxford Street, London Bridge, Covent Garden, Wimbledon and more.<br /><br /><b>The space</b><br />The apartment is light, roomy and beautifully decorated.  It is in a pretty quiet mews behind the high street, a peaceful haven from the hustle and bustle of the city.   You will have the whole apartment to yourselves - living room, bedroom, modern kitchen and bathroom and a spare room to store luggage.  There's lots of wardrobe room and drawer space, fresh linen (Egyptian cotton), a cosy duvet and fresh fluffy towels.  Shower gel, shampoo toothpaste all provided so you can travel light!","Balham has a vibrant community with tons of great coffee shops, bars and pubs, a great range of shops and spas and a farmer's and flower market.  You can find everything from craft beers, unique gifts and speciality foods all within a 5 minute walk.",https://a0.muscache.com/pictures/92952022/1bfca0ab_original.jpg,8377473,https://www.airbnb.com/users/show/8377473,Clare,2013-08-25,"London, United Kingdom",,,,,f,https://a0.muscache.com/im/pictures/user/78e60f1d-a539-4523-a4c7-34bbdacef78e.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/78e60f1d-a539-4523-a4c7-34bbdacef78e.jpg?aki_policy=profile_x_medium,,1.0,3.0,"['email', 'phone']",t,t,"London, United Kingdom",Wandsworth,,51.44596,-0.14959,Entire rental unit,Entire home/apt,2,,1 bath,1.0,1.0,"[""Heating"", ""Hair dryer"", ""Iron"", ""Washer"", ""Carbon monoxide alarm"", ""First aid kit"", ""Wifi"", ""Shampoo"", ""Free parking on premises"", ""Smoking allowed"", ""TV"", ""Smoke alarm"", ""Kitchen"", ""Hangers"", ""Breakfast"", ""Essentials"", ""Fire extinguisher""]",85.0,5,1125,5.0,5.0,1125.0,1125.0,5.0,1125.0,,t,0,0,0,0,2023-09-07,5,0,0,2017-06-18,2020-12-16,4.8,4.6,4.8,4.5,4.75,4.75,4.5,,f,1,1,0,0,0.07
7650686,https://www.airbnb.com/rooms/7650686,20230906022807,2023-09-07,previous scrape,Townhouse in London · ★4.73 · 1 bedroom · 2 beds · 1 bath,"Welcome (haere mai!) to our low-waste, library-style, first floor flat.  Hope you'll enjoy the brightness that being on the Southern end of a terraced housing block (and therefore having windows on three sides) can bring.  We also have a small sunny garden at ground level, which you'll enter through, with seating available and lots of herbs (which you're welcome to use).<br /><br /><b>The space</b><br />Guests can expect the whole first floor, one bedroom, flat for their exclusive use during their stay.  You are able to check yourself in, so will have 24/7 access to come and go from the flat, as convenient.  For your information, we refill all personal hygiene, laundry and cleaning products with Ecover or Faith in Nature brands, (good for most types of sensitive skin but you may want to check whether they contain your particular allergens).<br /><br /><b>Guest access</b><br />The entire flat is available for your exclusive use.","SO many things.  We're situated right in between the diverse and gently gentrifying Leytonstone and Forest Gate areas, with plenty of community spirit and local, owner-operated, small businesses.  Also we're only a three minute walk from Wanstead Flats which continues in an unbroken chain of greenery all the way up into Epping Forest, making our borough, Waltham Forest, the greenest in London.  This is GREAT for socially-distanced exercise and nature enjoyment.  The very large Westfiled Shopping Centre is also only a short bus ride away.  Whipps Cross is our nearest hospital, easy to reach, though there are many clinics which are even closer.",https://a0.muscache.com/pictures/miso/Hosting-7650686/original/18c0c738-b1ea-4c73-a15f-a0119703f1d2.jpeg,30460996,https://www.airbnb.com/users/show/30460996,Junita,2015-04-02,"London, United Kingdom",,within an hour,100%,100%,f,https://a0.muscache.com/im/users/30460996/profile_pic/1438378812/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/30460996/profile_pic/1438378812/original.jpg?aki_policy=profile_x_medium,,5.0,5.0,"['email', 'phone']",t,t,"London, United Kingdom",Waltham Forest,,51.55879,0.01065,Entire townhouse,Entire home/apt,6,,1 bath,1.0,2.0,"[""Bathtub"", ""Private patio or balcony"", ""Shampoo"", ""Microwave"", ""Coffee maker"", ""Self check-in"", ""Bed linens"", ""Hot water"", ""Iron"", ""Lockbox"", ""Barbecue utensils"", ""Washer"", ""Bread maker"", ""Cooking basics"", ""Heating"", ""Shower gel"", ""Ethernet connection"", ""Children\u2019s books and toys"", ""Free parking on premises"", ""Oven"", ""Refrigerator"", ""Hair dryer"", ""Essentials"", ""Private entrance"", ""Long term stays allowed"", ""Stove"", ""Backyard"", ""Extra pillows and blankets"", ""Wifi"", ""Dishes and silverware"", ""Kitchen"", ""Hangers"", ""Dedicated workspace""]",58.0,4,1125,4.0,4.0,1125.0,1125.0,4.0,1125.0,,t,0,0,0,0,2023-09-07,22,0,0,2019-06-30,2020-12-31,4.73,4.82,4.32,4.86,4.82,4.68,4.82,,f,3,3,0,0,0.43
8055278,https://www.airbnb.com/rooms/8055278,20230906022807,2023-09-06,city scrape,Rental unit in London · ★4.67 · 3 bedrooms · 3 beds · 1 bath,"Recently refurbished 3 bed flat in North west London with great access into the City with parking on site. a lovely base from which both business and holiday travellers can enjoy their stay.  The property is close to the high street with lots of shops and Cafes buses and easy access to Hendon Central and Hendon main line station.<br /><br /><b>The space</b><br />Nice 3 bed flat in Hendon with easy access to Train bus and tube links and the high road which takes you direct into the hub of London activities within 15 minutes by tube or by bus. <br /><br />The flat is on the 1st floor within a lovely Victorian building house with 3 good sized double bed rooms, open plan kitchen and living dining lounge area on the 1st floor. Suitable for families and business trips.","Flat is conveniently located close to shopping amenities, schools, coffee shops, bars & restaurants and a short walk to numerous Bus routes or Hendon Central tube and Hendon Overground train Station (Zone 3, Northern Line, London Overground).",https://a0.muscache.com/pictures/24c5da96-8846-4142-81f0-1b9bcaa15abe.jpg,27834248,https://www.airbnb.com/users/show/27834248,Dolly,2015-02-16,"London, United Kingdom",,within a few hours,78%,43%,f,https://a0.muscache.com/im/pictures/user/bdd29cc3-3cc9-4683-87ad-0a52091c3bc1.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/bdd29cc3-3cc9-4683-87ad-0a52091c3bc1.jpg?aki_policy=profile_x_medium,Hampstead,44.0,106.0,"['email', 'phone']",t,t,"London, United Kingdom",Westminster,,51.53454,-0.18899,Entire rental unit,Entire home/apt,7,,1 bath,3.0,3.0,"[""Bathtub"", ""Shampoo"", ""Bed linens"", ""Hot water"", ""Iron"", ""Washer"", ""Fire extinguisher"", ""Cooking basics"", ""Heating"", ""Shower gel"", ""Free parking on premises"", ""Oven"", ""Refrigerator"", ""TV"", ""Pets allowed"", ""Hair dryer"", ""Essentials"", ""Long term stays allowed"", ""Stove"", ""Backyard"", ""Extra pillows and blankets"", ""Dishes and silverware"", ""Smoke alarm"", ""Kitchen"", ""Hangers"", ""Pack \u2019n play/Travel crib""]",350.0,14,1125,14.0,14.0,1125.0,1125.0,14.0,1125.0,,t,14,44,74,349,2023-09-06,3,0,0,2015-10-18,2020-12-30,4.67,4.67,5.0,4.67,5.0,5.0,4.67,,f,42,42,0,0,0.03
10144908,https://www.airbnb.com/rooms/10144908,20230906022807,2023-09-06,city scrape,Rental unit in London · ★4.95 · 2 bedrooms · 3 beds · 2 baths,"A luxury 3 double bed, two bathroom apartment on the 2nd floor of an Edwardian mansion block in Bloomsbury / Fitzrovia with concierge service and elevator. The apartment comprises an integrated open-plan designer kitchen, spacious lounge, built-in wardrobes, main bathroom (& shower), en-suite bathroom in master bedroom, a south-west sunny balcony, fluffy white towels, hotel toiletries, Krups coffee, & 100% 5 star reviews! All on the West End’s doorstep!<br /><br /><b>The space</b><br />It’s quite simply a fantastic, high spec, immaculately clean and quiet apartment right in the centre of London. Read our 100% 5 star reviews to get a real understanding of what previous guests have loved about the apartment. We will bend over backwards to make sure your stay in London is fun-filled and restful and that each day is followed by a comfortable and peaceful night’s sleep.<br /><br /><b>Guest access</b><br />Guests have access to the entire apartment property (including balcony) as well as bei","Our neighbourhood is, in my humble opinion, the best place to live in London (as confirmed by the Sunday Times which recently named it as such). The apartment is located on a quiet and tranquil residential street, but is on the doorstep of London's best shopping, restaurants, theatres and nightlife. Immediately to the east you have the beautiful and peaceful Bloomsbury squares; 10 minutes' walk south is the world famous Covent Garden and Soho for all your theatre and restaurant needs; directly to the west is trendy Fitzrovia with its excellent bars and restaurants; the vast array of Oxford Street & Regents Street shops are 10 minutes' walk to the south west; and to the north you've got the finest Royal park in London, Regents' Park, and London Zoo.",https://a0.muscache.com/pictures/f671ad4c-a523-406e-8860-9fcc0837fc04.jpg,15351667,https://www.airbnb.com/users/show/15351667,Rachel,2014-05-10,"London, United Kingdom","Hi there, 

We’re a family of five who live in London and love experiencing everything it offers from theatres, restaurants, parks, shopping, museums etc etc etc. We lived in the apartment for 7 years and really made the most of the phenomenal experiences and attractions on the doorstep. It’s the best neighbourhood in central London and we miss it every day. 

Best wishes x ",a few days or more,33%,0%,f,https://a0.muscache.com/im/pictures/user/57393b25-e3ff-4ca8-b5cc-32326b318935.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/57393b25-e3ff-4ca8-b5cc-32326b318935.jpg?aki_policy=profile_x_medium,,1.0,1.0,"['email', 'phone']",t,t,"London, United Kingdom",Camden,,51.52252,-0.13409,Entire rental unit,Entire home/apt,6,,2 baths,2.0,3.0,"[""Single level home"", ""Bathtub"", ""Laundromat nearby"", ""Shampoo"", ""Luggage dropoff allowed"", ""Microwave"", ""Bed linens"", ""High chair"", ""Hot water"", ""Iron"", ""Crib"", ""Paid parking off premises"", ""Washer"", ""Patio or balcony"", ""Cooking basics"", ""Heating"", ""Dishwasher"", ""TV with standard cable"", ""Freezer"", ""Children\u2019s books and toys"", ""Oven"", ""Refrigerator"", ""Mini fridge"", ""Baking sheet"", ""Body soap"", ""Hair dryer"", ""Essentials"", ""Long term stays allowed"", ""Coffee maker: Nespresso, pour-over coffee"", ""Stove"", ""Elevator"", ""Carbon monoxide alarm"", ""Backyard"", ""Baby monitor"", ""Extra pillows and blankets"", ""Children\u2019s dinnerware"", ""Wifi"", ""Dishes and silverware"", ""Smoke alarm"", ""Kitchen"", ""Breakfast"", ""Hangers"", ""Pack \u2019n play/Travel crib""]",222.0,2,1125,2.0,2.0,1125.0,1125.0,2.0,1125.0,,t,0,0,0,157,2023-09-06,39,0,0,2016-04-17,2020-12-05,4.95,4.97,4.97,5.0,5.0,4.92,4.9,,f,1,1,0,0,0.43
12172914,https://www.airbnb.com/rooms/12172914,20230906022807,2023-09-07,previous scrape,Rental unit in London · ★4.89 · 1 bedroom · 1 bed · 1 shared bath,"Perfect place to explore East/Central London from! It's a 5 minute walk to Bethnal Green (central line station),a short walk to Brick Lane/Shoreditch. Quiet and peaceful yet close to exciting nightlight and restaurants.<br /><br />#please note only guests with Government ID and previous good reviews on there profile will be eligible stay here#<br /><br /><b>The space</b><br />My place is very quiet, in a peaceful hidden part of East London. But yet very close to the busy nightlife and transportation to London city<br /><br /><b>Guest access</b><br />Full shared use of kitchen and bathroom. Sole use of double bedroom<br /><br /><b>During your stay</b><br />Official Check in is from 7.30pm as this is the usual time I return from work. However if it's possible I can check in guests earlier in the day if we agree a set time to meet. This would involve me leaving work on my break so I would only have a small window of time to do this. <br /><br />Saturday I can be much more flexible with ch",Brick lane Beigel bake is the original east end Jewish breakfast!,https://a0.muscache.com/pictures/dbc89fab-a5cf-49ec-9da7-9ef78b4a8737.jpg,65391506,https://www.airbnb.com/users/show/65391506,Alan,2016-04-01,"London, United Kingdom","Hi my name is Alan. Im a massive sports fan. I also love to run and play tennis in my free time.
I'm a regular runner at ''Parkrun'' and i volunteer most weekends there as well. 

I like science and history

My favourite travel destination is Thailand. Been there three times. 

My favourite TV show is ''Friends''. Watch them religiously. 

And i love pizza from Domino's

Im a very friendly host to my guests. And i try my best to help them with information on what to do and where to go",,,,f,https://a0.muscache.com/im/pictures/user/5d64fc50-8429-4c59-8bc9-3784cfdcff13.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/5d64fc50-8429-4c59-8bc9-3784cfdcff13.jpg?aki_policy=profile_x_medium,,1.0,1.0,"['email', 'phone']",t,t,"London, United Kingdom",Tower Hamlets,,51.52789,-0.04789,Private room in rental unit,Private room,2,,1 shared bath,,1.0,"[""Laundromat nearby"", ""Microwave"", ""Hot water"", ""Host greets you"", ""First aid kit"", ""Cooking basics"", ""Heating"", ""Free street parking"", ""Oven"", ""Refrigerator"", ""Essentials"", ""Private entrance"", ""Hot tub"", ""Stove"", ""Elevator"", ""Extra pillows and blankets"", ""Wifi"", ""Dishes and silverware"", ""Smoke alarm"", ""Kitchen"", ""Hangers""]",23.0,3,1125,3.0,3.0,1125.0,1125.0,3.0,1125.0,,t,0,0,0,0,2023-09-07,74,0,0,2016-04-17,2020-12-10,4.89,4.92,4.85,4.93,4.96,4.76,4.75,,f,1,0,1,0,0.82
