id,listing_url,scrape_id,last_scraped,source,name,description,neighborhood_overview,picture_url,host_id,host_url,host_name,host_since,host_location,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_thumbnail_url,host_picture_url,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
306677,https://www.airbnb.com/rooms/306677,20230906022807,2023-09-07,previous scrape,Rental unit in London · ★4.56 · 2 bedrooms · 3 beds · 1 bath,"Non smoking apartment worth uk£600k (US$900k) with amazing views over the city of london that are to die for you can see st paul's cathedral, the shard, the gherkin, walkie talkie tower and canary wharf.<br />2 bedrooms with 1 king size bed and 1 double bed and 1 fold out John Lewis mattress<br />Please note due to apartment being zone 1 and it's proximity to fantastic transport links of 2 different underground lines and multiple bus routes and train line this isn't for people looking for quiet location<br /><br /><b>The space</b><br />BEFORE YOU BOOK CHECK THE TIMES OF CHECK-IN IF YOU HAVE EARLY MORNING ARRIVAL FLIGHT OR LATE NIGHT ARRIVAL FLIGHT THEN CHECK-IN MAY NOT BE POSSIBLE SO DO NOT BOOK WITHOUT CHECKING WITH ME THAT SOMEONE CAN MEET YOU TO GIVE YOU KEYS <br />Key collection is available from the cleaner if she's in the apartment at time of arrival generally 12pm - 15.00 or if she has finished then 11.30 - 22.30 at a local shop which will do key collection for free. If you want","Fantastic location to access all tourist attractions either walking or via underground or bus.<br />Also if you like to party world famous Ministry of Sound is just round the corner.<br />If its your first time in London then I would recommend Big Ben, London eye or the shard, the museums, buckingham palace and changing of the guard, tower of london and tower bridge.<br />If you have been before then feel free to ask and I can offer you some well less known tourist attractions and things locals do as well",https://a0.muscache.com/pictures/3419083/e5533e48_original.jpg,1577254,https://www.airbnb.com/users/show/1577254,Pm,2012-01-07,"London, United Kingdom",Live life travel see the world,,,,f,https://a0.muscache.com/im/pictures/user/74e33740-74bb-484b-8121-b61c4009bda9.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/74e33740-74bb-484b-8121-b61c4009bda9.jpg?aki_policy=profile_x_medium,Southwark,8.0,14.0,"['email', 'phone']",t,t,"London, United Kingdom",Southwark,,51.49739,-0.10146,Entire rental unit,Entire home/apt,5,,1 bath,2.0,3.0,"[""Babysitter recommendations"", ""Heating"", ""Elevator"", ""Hot water"", ""Hair dryer"", ""Iron"", ""Carbon monoxide alarm"", ""First aid kit"", ""Wifi"", ""Dishes and silverware"", ""Paid parking off premises"", ""TV"", ""Dryer"", ""Smoke alarm"", ""Washer"", ""Kitchen"", ""Hangers"", ""Essentials"", ""Long term stays allowed""]",132.0,5,90,5.0,5.0,1125.0,1125.0,5.0,1125.0,,t,0,0,0,0,2023-09-07,218,0,0,2012-02-06,2020-02-29,4.56,4.72,4.64,4.72,4.78,4.41,4.55,,t,6,6,0,0,1.55
409444,https://www.airbnb.com/rooms/409444,20230906022807,2023-09-07,previous scrape,Rental unit in London · ★5.0 · 1 bedroom · 1 bed · 1 bath,"My homely minimalist flat away from all the hustle and bustle, faces west across green leafy London and the city. In the heart of arty London Fields (E8, Zone 2) with cafés, parks, yoga studios, art cinema, canal walks. Comfortably fits two.<br /><br /><b>The space</b><br />Welcoming cosy peaceful one double bedroom high-rise flat available for longer periods when owner is away on extended work trips. The flat is on the 14th floor of an iconic 1960s block at the north end of London Fields in highly desirable E8 (East London). <br /><br />Ideally suits single professional guest or couple. <br /><br />Open plan living room and kitchen with views across London west facing. The whole flat is painted white and has a modernist refreshing style.<br /><br />The Sky Palace, as I affectionately call my home, comes into its own in the winter months. Warm and secure with beautiful views across London and walking distance to the heated open air swimming pool, arty cafes, markets, numerous yoga stud","Cafes, parks, canal walks, friendly people, pop-up events, buses and trains nearby, community atmosphere, yoga studios and a great view from my flat.",https://a0.muscache.com/pictures/25796659/f516639f_original.jpg,2038199,https://www.airbnb.com/users/show/2038199,Rachel,2012-03-30,"London, United Kingdom","I am a born and bred London originally from North West London but now living in the East. I work as a freelance mediator, Thai massage therapist and charity sector administrator. I have lived in this apartment for 11 years. I am always keen to find someone I can trust to take on my flat while I'm away from time to time for work or holidays. I hope you will enjoy this special and peaceful home in the heart of vibrant and artistic London Fields. A single professional or couple would be ideal.",,,,f,https://a0.muscache.com/im/users/2038199/profile_pic/1382206026/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/2038199/profile_pic/1382206026/original.jpg?aki_policy=profile_x_medium,Dalston,1.0,1.0,"['email', 'phone', 'work_email']",t,f,"London, United Kingdom",Hackney,,51.54356,-0.06084,Entire rental unit,Entire home/apt,4,,1 bath,1.0,1.0,"[""Heating"", ""Elevator"", ""Hot water"", ""Hair dryer"", ""Host greets you"", ""Wifi"", ""Paid parking off premises"", ""Smoke alarm"", ""Kitchen"", ""Washer"", ""Essentials""]",80.0,20,60,20.0,20.0,60.0,60.0,20.0,60.0,,t,0,0,0,0,2023-09-07,5,0,0,2016-01-03,2020-02-05,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,t,1,1,0,0,0.05
497373,https://www.airbnb.com/rooms/497373,20230906022807,2023-09-06,city scrape,Rental unit in London · ★4.56 · 1 bedroom · 1 bed · 1 bath,"<b>The space</b><br />This listing is for a loft style flat in central London - Zone 1. <br />Closest tube station is Southwark (Jubilee line) -3 min walk. <br /><br />The flat is spacious and light with one large semi- open space  and a separate bedroom. The flat is 2 bedroom, however the part of the wall was removed between second bedroom and lounge. <br /><br />The  Bedroom is facing east with views towards  Shard -tallest building in London. There is a king size bed ( 150cmx 200cm) with a foam mattress. The room is simply furnished and free of clutter. <br /><br />The other bedroom is facing west and  is conjoined with a living / kitchen area to maximize the space and light. The current layout would suit 2 people sharing the bedroom.  <br /><br />The flat has a balcony with fantastic city views. Wooden floors throughout. <br />Wireless internet.<br /><br />Please note the flat is on 4th floor and there is no lift.<br />Please ask if you have any additional questions<br /><br /><b>O","Fantastic Location. Abundance of cultural venues nearby: Tate Modern, Southbank center,  Cinemas - British film institute, Curzon Mondrian. Theater -Old and Young Vic, Globe,  National theater. independent bookshops, food markets, Borough market. Coffee shops (Monmouth is my favorite). The Table on Southwark Street for fantastic breakfast. <br />For evening -Union Cafe on Great Suffolk Street, Anchor and Hope on the Cut, Brindisa in London Bridge, etc...<br /> I can give you more tips where to go and what to see if you need.",https://a0.muscache.com/pictures/5951761/10c74cf6_original.jpg,182322,https://www.airbnb.com/users/show/182322,Nina,2010-07-27,"London, United Kingdom", ,within an hour,100%,53%,f,https://a0.muscache.com/im/users/182322/profile_pic/1408540935/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/182322/profile_pic/1408540935/original.jpg?aki_policy=profile_x_medium,Southwark,2.0,3.0,"['email', 'phone']",t,t,"London, United Kingdom",Southwark,,51.50181,-0.10009,Entire rental unit,Entire home/apt,1,,1 bath,1.0,1.0,"[""Luggage dropoff allowed"", ""Bed linens"", ""Hot water"", ""Iron"", ""Host greets you"", ""Paid parking off premises"", ""Washer"", ""Patio or balcony"", ""Cooking basics"", ""Heating"", ""Shower gel"", ""Oven"", ""Refrigerator"", ""TV"", ""Essentials"", ""Private entrance"", ""Long term stays allowed"", ""Stove"", ""City skyline view"", ""Carbon monoxide alarm"", ""Wifi"", ""Dishes and silverware"", ""Smoke alarm"", ""Kitchen"", ""Hangers"", ""Dedicated workspace""]",165.0,7,1125,7.0,7.0,1125.0,1125.0,7.0,1125.0,,t,2,32,62,337,2023-09-06,56,0,0,2012-09-21,2020-02-20,4.56,4.58,4.73,4.63,4.65,4.81,4.35,,f,2,1,1,0,0.42
595059,https://www.airbnb.com/rooms/595059,20230906022807,2023-09-06,city scrape,Rental unit in London · ★4.85 · 1 bedroom · 1 bed · 1 shared bath,"Comfortable and lovely double bedroom in an artistically decorated house!<br />Quiet area, opposite green fields.<br />Close to Mottingham train station in SE London. Gets you to London city centre by train in 22mins (London Bridge).<br />House share with myself and my partner.<br /><br /><b>The space</b><br />Lovely warm double bedroom in friendly house share.<br /><br />Contains a built-in wardrobe, a desk and office chair, a double bed with 2 storage drawers, a wooden bookshelf, a wooden vintage box.<br /><br />Located opposite a fiel on a hill with beautiful view of London . A short walk from Heritage building Eltham palace and its fields with horses. <br /><br />Borough of Greenwich, zone 4, close to mottingham station, 22 mins by train to london bridge, 25 mins to waterloo and 30 mins to charing cross station and Trafalgar Square.<br /><br />Price  is for one person and it's inclusive of gas, electricity, council tax, internet, landline, toilet paper!<br /><br />Do not hesitate t","It's a residential area in South-East London with good amenities and close to the lovely neighborhoods of Eltham, Kidbrooke Village, Blackheath and Greenwich Village.<br />Small supermarket and other corner shops are a short walk from the house.<br />Otherwise Sainsbury's and the high street are in Eltham, a 20 minutes walk away through king john's walk and the heritage park just opposite the house. <br />One of the most cute palaces in English history ""Eltham palace"" is only 20 mins away. <br />There is also a lot of green in this area!",https://a0.muscache.com/pictures/7455469/d0c90f46_original.jpg,2940283,https://www.airbnb.com/users/show/2940283,Gael,2012-07-15,"London, United Kingdom","I am an actress, playwright, theatre director. 

Love travelling for work and leisure. Love art films and contemporary fictions. 

Jazz, classical and world music fan. ",within a day,67%,0%,f,https://a0.muscache.com/im/users/2940283/profile_pic/1398095288/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/2940283/profile_pic/1398095288/original.jpg?aki_policy=profile_x_medium,RB of Greenwich,2.0,3.0,"['email', 'phone', 'work_email']",t,t,"London, United Kingdom",Greenwich,,51.4426197221734,0.0425468901433771,Private room in rental unit,Private room,1,,1 shared bath,,1.0,"[""Microwave"", ""Coffee maker"", ""Bed linens"", ""Hot water"", ""Iron"", ""Outdoor furniture"", ""Washer"", ""Cooking basics"", ""Heating"", ""Lock on bedroom door"", ""Private backyard"", ""Oven"", ""Refrigerator"", ""Hair dryer"", ""Essentials"", ""Long term stays allowed"", ""Stove"", ""Carbon monoxide alarm"", ""Extra pillows and blankets"", ""Wifi"", ""Dishes and silverware"", ""Smoke alarm"", ""Kitchen"", ""Hangers""]",42.0,4,30,4.0,4.0,30.0,30.0,4.0,30.0,,t,27,57,87,177,2023-09-06,13,0,0,2014-02-21,2020-02-14,4.85,4.77,4.69,5.0,5.0,4.77,4.85,,f,2,1,1,0,0.11
608431,https://www.airbnb.com/rooms/608431,20230906022807,2023-09-07,previous scrape,Rental unit in London · ★4.81 · 1 bedroom · 1 bed · 1 shared bath,"A lovely, clean, quiet bedroom overlooking peaceful gardens in a spacious Victorian maisonette with stripped floor boards with a good-sized decked roof terrace, in a quiet Hackney street. <br /><br />Hackney is in north-east London. It is 5.7 miles from my flat to Oxford Circus (regarded as the centre of London) which takes 20 minutes to get there from Hackney Central Station.<br /><br />**If you don't know London, or Hackney, please check the map and make sure you are happy with the location before you book.**<br /><br /><b>The space</b><br />The bedroom you will stay in is clean, cosy and tidy with a desk and chair, a bedside table, a book case and wooden frame bed with comfortable mattress in a spacious traditional but stylish, clean and tidy Victorian maisonette with stripped floor boards and modern decoration with a good-sized decked roof terrace.  The room is 9.6ft x 9.8ft/2.9m x 3m in size.<br /><br />The maisonette apartment is set in the top floors of a house (divided into two","Hackney is full of independent cafes, bars, galleries, shops and markets. This East End area is international, dynamic, inventive and rich in history. It's also one of the greenest areas of London, with canals and rivers - kayaking and even horse-riding possible here.<br /><br />We are near London Fields with the always popular Broadway Market on Saturday and also Chatsworth Road Market which takes place on Sunday.<br />It is three-minutes walk to Hackney Downs park, a large open green space. And a 10-minute walk to London Fields which is a great park with an outdoor heated swimming pool, tennis courts, great pubs, playgrounds. Walk through it and arrive at Broadway Market (Saturdays only), which is known for its organic food and vintage goods – a nice place to hang out for a coffee.<br /><br />Just round the corner from the flat is Lower Clapton Road – full of useful food shops, cafes, general stores. And a few streets away is Chatsworth Road which is becoming a competitor to Broadway",https://a0.muscache.com/pictures/7e5bfab7-d3b7-45ca-8f4f-11747d74542e.jpg,3015770,https://www.airbnb.com/users/show/3015770,Caroline,2012-07-22,"England, United Kingdom","Journalist, writer, and Hackney-dweller, I moved here from Notting Hill Gate in 2005 having been in west London for 17 years, and now wonder what took me so long to go east! ",,,,f,https://a0.muscache.com/im/users/3015770/profile_pic/1342967533/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/3015770/profile_pic/1342967533/original.jpg?aki_policy=profile_x_medium,LB of Hackney,1.0,1.0,"['email', 'phone']",t,t,"London, United Kingdom",Hackney,,51.55346,-0.05543,Private room in rental unit,Private room,1,,1 shared bath,,1.0,"[""Shampoo"", ""Luggage dropoff allowed"", ""Microwave"", ""Coffee maker"", ""Bed linens"", ""Hot water"", ""Iron"", ""Host greets you"", ""First aid kit"", ""Paid parking off premises"", ""Washer"", ""Patio or balcony"", ""Cooking basics"", ""Heating"", ""Shower gel"", ""Refrigerator"", ""Hair dryer"", ""Essentials"", ""Long term stays allowed"", ""Stove"", ""Carbon monoxide alarm"", ""Extra pillows and blankets"", ""Wifi"", ""Dishes and silverware"", ""Smoke alarm"", ""Kitchen"", ""Hangers""]",30.0,1,1125,1.0,1.0,1125.0,1125.0,1.0,1125.0,,t,0,0,0,0,2023-09-07,114,0,0,2015-09-06,2020-02-23,4.81,4.83,4.88,4.87,4.92,4.57,4.85,,f,1,0,1,0,1.17
725370,https://www.airbnb.com/rooms/725370,20230906022807,2023-09-07,previous scrape,Home in Greater London · ★4.56 · 1 bedroom · 1 bed · 1.5 baths,"<b>The space</b><br />A stunning, new and modern double room/studio minutes away from Victoria Station in Central London.<br /><br />If you are looking for a beautiful, comfortable and new private double room/studio in the centre of the most vibrant city in Europe, we highly recommend you staying at my place.<br /><br />*** LOCATION ***<br /><br />The studio is situated literally 8 minutes away from Victoria Station. Victoria Station is one of the biggest train, tube and bus stations in London.There you have access to three different tube lines (Victoria, Circle and District lines); Express trains to Gatwick airport and South West England; coaches to all the main airports - Heathrow, Gatwick, Stansted and Luton. Also Trains and Coaches to many different cities throughout England and Europe.<br /><br />By bus, tube, cab or even walking you can get to all of these places or landmarks within 25 minutes from the flat:<br /><br />Big Ben and London Eye <br />Buckingham Palace <br />Tate Bri",,https://a0.muscache.com/pictures/10059761/54299601_original.jpg,580475,https://www.airbnb.com/users/show/580475,Alessandro,2011-05-11,"London, United Kingdom","I'm a Brazilian from Sao Paulo living in London since April 2009.

I'd describe myself as a passionate, enthusiastic and proactive person. I'm always following my dreams because they come true. I think every day is a good day!

Actually, I'm running my own business, a property management company that cares about people.

I love cooking, wines, coffee, breathtaking views, spending time with my family. I have a special passion for my close ""soul"" friends.

I'm crazy about travelling and all the discoveries I make every time I meet new people and visit new places.
",,,,f,https://a0.muscache.com/im/users/580475/profile_pic/1348416071/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/580475/profile_pic/1348416071/original.jpg?aki_policy=profile_x_medium,Pimlico,48.0,72.0,"['email', 'phone']",t,t,,Westminster,,51.49146,-0.13895,Entire home,Entire home/apt,3,,1.5 baths,1.0,1.0,"[""Heating"", ""Hair dryer"", ""Iron"", ""Carbon monoxide alarm"", ""First aid kit"", ""Wifi"", ""Shampoo"", ""Smoke alarm"", ""Dryer"", ""Kitchen"", ""Washer"", ""Breakfast"", ""Hangers"", ""Essentials"", ""Fire extinguisher""]",84.0,1,365,1.0,1.0,365.0,365.0,1.0,365.0,,t,0,0,0,0,2023-09-07,306,0,0,2012-10-15,2020-02-16,4.56,4.62,4.79,4.82,4.75,4.79,4.52,,f,44,22,22,0,2.31
726950,https://www.airbnb.com/rooms/726950,20230906022807,2023-09-07,previous scrape,Rental unit in London · ★4.62 · 1 bedroom · 1 bed · 1 bath,"<b>The space</b><br />A brand new and modern ensuite studio minutes away from Victoria Station in Central London.<br /><br />If you are looking for a beautiful, comfortable and spacious private studio in the centre of the most vibrant city in Europe, we highly recommend you staying at our studio.<br /><br />*** LOCATION ***<br /><br />The studio is situated literally 8 minutes away from Victoria Station. Victoria Station is one of the biggest train, tube and bus stations in London.There you have access to three different tube lines (Victoria, Circle and District lines); Express trains to Gatwick airport and South West England; coaches to all the main airports - Heathrow, Gatwick, Stansted and Luton. Also Trains and Coaches to many different cities throughout England and Europe.<br /><br />By bus, tube, cab or even walking you can get to all of these places or landmarks within 25 minutes from the flat:<br /><br />Big Ben and London Eye <br />Buckingham Palace <br />Tate Britain Museum <",,https://a0.muscache.com/pictures/9893417/04bac1d6_original.jpg,580475,https://www.airbnb.com/users/show/580475,Alessandro,2011-05-11,"London, United Kingdom","I'm a Brazilian from Sao Paulo living in London since April 2009.

I'd describe myself as a passionate, enthusiastic and proactive person. I'm always following my dreams because they come true. I think every day is a good day!

Actually, I'm running my own business, a property management company that cares about people.

I love cooking, wines, coffee, breathtaking views, spending time with my family. I have a special passion for my close ""soul"" friends.

I'm crazy about travelling and all the discoveries I make every time I meet new people and visit new places.
",,,,f,https://a0.muscache.com/im/users/580475/profile_pic/1348416071/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/580475/profile_pic/1348416071/original.jpg?aki_policy=profile_x_medium,Pimlico,48.0,72.0,"['email', 'phone']",t,t,,Westminster,,51.48961,-0.13966,Entire rental unit,Entire home/apt,2,,1 bath,1.0,1.0,"[""Heating"", ""Hair dryer"", ""Iron"", ""Wifi"", ""Shampoo"", ""Kitchen"", ""Dryer"", ""Breakfast"", ""Washer"", ""Hangers"", ""Essentials""]",96.0,1,365,1.0,1.0,365.0,365.0,1.0,365.0,,t,0,0,0,0,2023-09-07,252,0,0,2012-10-24,2020-02-13,4.62,4.76,4.74,4.88,4.76,4.88,4.55,,f,44,22,22,0,1.9
739774,https://www.airbnb.com/rooms/739774,20230906022807,2023-09-07,previous scrape,Rental unit in London · ★4.65 · Studio · 1 bed · 1 bath,"Bright, clean, modern, stylish and very comfortable ensuite studio flat. Maintained to a high standard, perfect for a couple or a single traveller.<br /><br /><b>The space</b><br />A brand new and modern ensuite studio minutes away from Victoria Station in Central London.<br /><br />If you are looking for a beautiful, comfortable and spacious private studio in the centre of the most vibrant city in Europe, we highly recommend you staying at this studio.<br /><br />*** LOCATION ***<br /><br />The studio is situated literally 8 minutes away from Victoria Station. Victoria Station is one of the biggest train, tube and bus stations in London.There you have access to three different tube lines (Victoria, Circle and District lines); Express trains to Gatwick airport and South West England; coaches to all the main airports - Heathrow, Gatwick, Stansted and Luton. Also Trains and Coaches to many different cities throughout England and Europe.<br /><br />By bus, tube, cab or even walking you ca",,https://a0.muscache.com/pictures/15379835/800c1e53_original.jpg,580475,https://www.airbnb.com/users/show/580475,Alessandro,2011-05-11,"London, United Kingdom","I'm a Brazilian from Sao Paulo living in London since April 2009.

I'd describe myself as a passionate, enthusiastic and proactive person. I'm always following my dreams because they come true. I think every day is a good day!

Actually, I'm running my own business, a property management company that cares about people.

I love cooking, wines, coffee, breathtaking views, spending time with my family. I have a special passion for my close ""soul"" friends.

I'm crazy about travelling and all the discoveries I make every time I meet new people and visit new places.
",,,,f,https://a0.muscache.com/im/users/580475/profile_pic/1348416071/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/580475/profile_pic/1348416071/original.jpg?aki_policy=profile_x_medium,Pimlico,48.0,72.0,"['email', 'phone']",t,t,,Westminster,,51.48945,-0.14052,Entire rental unit,Entire home/apt,2,,1 bath,,1.0,"[""Shampoo"", ""Dryer"", ""Microwave"", ""Coffee maker"", ""Hot water"", ""Paid parking off premises"", ""Washer"", ""Fire extinguisher"", ""Cooking basics"", ""Heating"", ""Dishwasher"", ""Oven"", ""Refrigerator"", ""TV"", ""Hair dryer"", ""Essentials"", ""Stove"", ""Carbon monoxide alarm"", ""Wifi"", ""Dishes and silverware"", ""Smoke alarm"", ""Kitchen""]",93.0,1,365,1.0,1.0,365.0,365.0,1.0,365.0,,t,0,0,0,0,2023-09-07,256,0,0,2012-11-01,2020-02-17,4.65,4.81,4.78,4.83,4.74,4.88,4.61,,f,44,22,22,0,1.94
739825,https://www.airbnb.com/rooms/739825,20230906022807,2023-09-07,previous scrape,Rental unit in London · ★4.68 · Studio · 1 bed · 1.5 shared baths,"Modern studio in the heart of London. Save money and time walking to the Buckingham Palace, Big Ben, London Eye, Saatchi Gallery, etc. Clean and bright, the studio is recently renovated as you can see in the photos. The Victoria coach, train and underground stations are less than 10 minutes walking distance. <br /><br />You will find nine different nationalities of food in less the 300 m walking distance from the door.<br /><br /><b>The space</b><br />A brand new and modern double room/studio minutes away from Victoria Station in Central London.<br /><br />If you are looking for a beautiful, comfortable and new private double room/studio in the centre of the most vibrant city in Europe, we highly recommend you staying at my place.<br /><br />*** LOCATION ***<br /><br />The studio is situated literally 8 minutes away from Victoria Station. Victoria Station is one of the biggest train, tube and bus stations in London.There you have access to three different tube lines (Victoria, Circle a","Pimlico is like an island in the centre of London. It's very residential, quiet, full of those white Victorian houses from 1850's (the studio is in one of them) but also has a lot of options of restaurants, shops and theatres.<br /><br />The Queen and the Prime Minister are the most notorious residents under the same postcode SW1. :)",https://a0.muscache.com/pictures/14554652/926220b5_original.jpg,580475,https://www.airbnb.com/users/show/580475,Alessandro,2011-05-11,"London, United Kingdom","I'm a Brazilian from Sao Paulo living in London since April 2009.

I'd describe myself as a passionate, enthusiastic and proactive person. I'm always following my dreams because they come true. I think every day is a good day!

Actually, I'm running my own business, a property management company that cares about people.

I love cooking, wines, coffee, breathtaking views, spending time with my family. I have a special passion for my close ""soul"" friends.

I'm crazy about travelling and all the discoveries I make every time I meet new people and visit new places.
",,,,f,https://a0.muscache.com/im/users/580475/profile_pic/1348416071/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/580475/profile_pic/1348416071/original.jpg?aki_policy=profile_x_medium,Pimlico,48.0,72.0,"['email', 'phone']",t,t,"London, United Kingdom",Westminster,,51.49121,-0.14135,Private room in rental unit,Private room,2,,1.5 shared baths,,1.0,"[""Shampoo"", ""Dryer"", ""Microwave"", ""Coffee maker"", ""Iron"", ""Washer"", ""Fire extinguisher"", ""Cooking basics"", ""Heating"", ""Lock on bedroom door"", ""Refrigerator"", ""Hair dryer"", ""Essentials"", ""Private entrance"", ""Carbon monoxide alarm"", ""Wifi"", ""Dishes and silverware"", ""Smoke alarm"", ""Kitchen"", ""Breakfast"", ""Hangers""]",76.0,1,365,1.0,1.0,365.0,365.0,1.0,365.0,,t,0,0,0,0,2023-09-07,239,0,0,2012-12-11,2020-02-28,4.68,4.81,4.84,4.8,4.76,4.84,4.64,,f,44,22,22,0,1.83
810126,https://www.airbnb.com/rooms/810126,20230906022807,2023-09-06,city scrape,Rental unit in London · ★4.52 · 1 bedroom · 1 bed · 1 bath,"LOVELY STUDIO SKYLINES <br />Close to Acton Town 8 minutes walk<br />15 minutes into London.<br />close to Supermarket and shops and cafe's<br />ACTON TOWN<br />ACTON CENTRAL<br />WEST ACTON<br />EALING COMMON <br />ARE ALL WITHIN WALKING DISTANCE<br /><br /><b>The space</b><br />Thank you for taking time to view: CHATSWORTH GARDENS ACTON LONDON W3 9LW<br /><br />100mb VIRGIN MEDIA WI FI IS FREE <br /><br />Chatsworth Gardens w3 9lw<br /><br />This is a fab loft conversion with 4 Skylines en suite and a kitchen.<br /><br />The property is walking distance from Acton, Ealing and Chiswick where you will find a multitude of shops, restaurants, pubs and parks and being so close to the Piccadilly and District Central  lines means that Central London<br /><br />Nestled in a quite residential road (it's blocked off from Uxbridge road) a few minutes’ walk from Acton Town or Ealing Common station. The property is just off High Street Acton and close  4 stations. The house has high ceilings. The",Lovely quite neighborhood.<br />My family and i live 2 streets away.,https://a0.muscache.com/pictures/18887788/68bc407a_original.jpg,4261235,https://www.airbnb.com/users/show/4261235,Ajit,2012-11-27,"London, United Kingdom","Hello,

My wife and I are experienced professional live-out landlords based in West London. 

I love meeting people from all across the world, and have travelled widely.

As a lifelong Londoner, I'm happy to share local expertise with guests if required. 

If you are interested, I can arrange an Executive Car to pick you up from ANY AIRPORT OR RAILWAY STATION to make your trip more comfortable.",within an hour,100%,80%,f,https://a0.muscache.com/im/pictures/user/5ce19a6c-350e-4521-bc9e-bf4cc1582c43.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/5ce19a6c-350e-4521-bc9e-bf4cc1582c43.jpg?aki_policy=profile_x_medium,Acton,22.0,35.0,"['email', 'phone']",t,t,"London, United Kingdom",Ealing,,51.51065,-0.27588,Entire rental unit,Entire home/apt,2,,1 bath,1.0,1.0,"[""Heating"", ""Hot water"", ""Hair dryer"", ""Iron"", ""Carbon monoxide alarm"", ""Host greets you"", ""Wifi"", ""Shampoo"", ""Luggage dropoff allowed"", ""Smoke alarm"", ""Kitchen"", ""Washer"", ""Hangers"", ""Essentials"", ""Long term stays allowed""]",51.0,10,1125,10.0,10.0,1125.0,1125.0,10.0,1125.0,,t,0,0,0,260,2023-09-06,67,0,0,2013-04-24,2020-02-26,4.52,4.55,4.27,4.87,4.97,4.57,4.67,,f,21,18,3,0,0.53
