id,listing_url,scrape_id,last_scraped,source,name,description,neighborhood_overview,picture_url,host_id,host_url,host_name,host_since,host_location,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_thumbnail_url,host_picture_url,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
16210829,https://www.airbnb.com/rooms/16210829,20230906022807,2023-09-06,previous scrape,Rental unit in London · ★4.39 · 1 bedroom · 2 beds · 1 bath,"Central London apartment located within walking distance from Tottenham Court Raod, Great Portland Street, Warren Street and Goodge Street Stations. <br /><br />The one bedroom apartment has a cute and cosy feel with an added benefit of a double sofa bed in the reception room to accommodate four guests.<br /><br />The apartment has wifi and TV which our guests can use.<br /><br />The apartment has a separate kitchen and bathroom as well and is fully equipped either for a short or long break.<br /><br /><b>The space</b><br />Welcome to the Heart of London.<br /><br />My Apartment is a walking distance from the following location Warren Street, Goodge Street, Great Portland Street, Tottenham Court Road, Euston and Euston Square Stations. <br /><br />As well as this we also have numerous number of buses that are all within walking distance (numbers (PHONE NUMBER HIDDEN) and 134).<br /><br />The road parallel to our road is the famous Tottenham Court Road, along this road you will find man","We are centrally located in the heart of Fitzrovia, in between Warren Street, Goodge Street, Tottenham Court Road and Great Portland Street Stations. <br /><br />As well as this we also have numerous number of buses that are all within walking distance (bus routes (PHONE NUMBER HIDDEN) and 134).<br /><br />The road parallel to our road is the famous Tottenham Court Road, along this road you will find many shops, restaurants and cafes. <br /><br />All of which are within walking distance from our apartment. <br />The iconic BT tower is literally around the corner.<br /><br />London's major attractions are accessible within a short timeframe, either by private or public transport or walking if you prefer.",https://a0.muscache.com/pictures/83add19e-89d9-4bcb-bafd-2d99becab0d1.jpg,105908099,https://www.airbnb.com/users/show/105908099,Ayden,2016-12-02,"London, United Kingdom",,,,,f,https://a0.muscache.com/im/pictures/user/57aa5599-8e47-49e2-a4bf-31f3e1e4c05e.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/57aa5599-8e47-49e2-a4bf-31f3e1e4c05e.jpg?aki_policy=profile_x_medium,Fitzrovia,3.0,3.0,"['email', 'phone']",t,t,"London, England, United Kingdom",Camden,,51.52092,-0.13875,Entire rental unit,Entire home/apt,4,,1 bath,1.0,2.0,"[""Single level home"", ""Shampoo"", ""Dryer"", ""Microwave"", ""Coffee maker"", ""Hot water"", ""Iron"", ""First aid kit"", ""Washer"", ""Cooking basics"", ""Heating"", ""Dishwasher"", ""TV with standard cable"", ""Oven"", ""Refrigerator"", ""Hair dryer"", ""Essentials"", ""Stove"", ""Elevator"", ""Carbon monoxide alarm"", ""Wifi"", ""Dishes and silverware"", ""Smoke alarm"", ""Kitchen"", ""Hangers""]",159.0,2,1125,2.0,2.0,1125.0,1125.0,2.0,1125.0,,t,0,0,0,0,2023-09-06,36,0,0,2016-12-10,2020-06-12,4.39,4.81,4.44,4.57,4.78,4.83,4.4,,f,3,3,0,0,0.44
24010450,https://www.airbnb.com/rooms/24010450,20230906022807,2023-09-06,city scrape,Rental unit in Greater London · ★4.93 · 2 bedrooms · 3 beds · 2 baths,"• Modern 2 bedroom/bathroom and a 500 sqft garden.<br />• Professionally cleaned w 800tc linens, fluffy towels & foam mattresses.<br />• Beds: 2 Super Kings (180cm wide), 1 sofa bed (150cm) and 6 floor mattresses (75cm)<br />• WiFi (200Mbps), Cable TV, Wireless Speaker, Hair Dryer, Dyson Heater/Fan, Separate Washer and Dryer, La Creuset cookery.<br />• Tubes: Angel (5 mins walk), King’s Cross(12m), Farringdon (13m)<br />• Fitness: Yoga Studios & Gyms are nearby. Private options are available. <br />• Cleaner: Available upon request.<br />• Parking: JustPark<br /><br />SLEEPING ARRANGEMENT<br />• Master bedroom & Double bedroom each have two single Tempur beds that can be combined into a king size bed.  <br />• We also have four floor mattresses that can be setup wherever. <br /><br />BATHROOMS<br />• Two bathrooms, One has a shower and the other a bath/shower combo.  <br /><br />AMENITIES<br />• Standlaone dryer, NOT a combi :)<br />• Travel cot for babies.<br />• Fully equipped kitche",• https://www.airbnb.co.uk/locations/london/clerkenwell <br />• https://www.airbnb.co.uk/locations/london/islington (2 min walk)<br />• https://www.airbnb.co.uk/locations/london/shoreditch (10m),https://a0.muscache.com/pictures/751f95e3-3e71-4ed8-9ffe-d5d9f70db686.jpg,1408974,https://www.airbnb.com/users/show/1408974,Hugh,2011-11-15,"London, United Kingdom","• I'm originally from Montreal and have been a host since 2 012. I manage multiple high spec listings, all of which are very well-reviewed in the top 1% percentile. 
• I provide an extensive guide on the area for restaurants, bars, museums & galleries and am always just a message away.
• Languages: English, French, Mandarin, Tagalog, and semi Spanish.
• You will likely have the pleasure of liaising with my colleague Marites. ",within an hour,100%,97%,t,https://a0.muscache.com/im/pictures/user/a1e1fb42-aed0-4a06-9d43-789a5b844167.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/a1e1fb42-aed0-4a06-9d43-789a5b844167.jpg?aki_policy=profile_x_medium,St. Luke's,9.0,38.0,"['email', 'phone']",t,t,"Greater London, England, United Kingdom",Islington,,51.52952,-0.10814,Entire rental unit,Entire home/apt,8,,2 baths,2.0,3.0,"[""Window guards"", ""Bathtub"", ""Free dryer \u2013 In unit"", ""Hot water kettle"", ""Indoor fireplace"", ""Private patio or balcony"", ""EV charger"", ""Shampoo"", ""Free washer \u2013 In unit"", ""Luggage dropoff allowed"", ""Changing table"", ""Microwave"", ""Coffee maker"", ""Self check-in"", ""Bed linens"", ""Private backyard \u2013 Fully fenced"", ""Cleaning available during stay"", ""High chair"", ""Baby bath"", ""Iron"", ""First aid kit"", ""Lockbox"", ""Exercise equipment"", ""Crib"", ""BBQ grill"", ""Paid parking off premises"", ""Outdoor furniture"", ""Fire extinguisher"", ""Cooking basics"", ""Heating"", ""Sound system"", ""Dishwasher"", ""Baby safety gates"", ""Pocket wifi"", ""Ethernet connection"", ""Children\u2019s books and toys"", ""Table corner guards"", ""Oven"", ""Refrigerator"", ""Outlet covers"", ""Body soap"", ""Pets allowed"", ""Hair dryer"", ""Essentials"", ""Long term stays allowed"", ""Babysitter recommendations"", ""Room-darkening shades"", ""Stove"", ""Carbon monoxide alarm"", ""TV with standard cable, Netflix"", ""Baby monitor"", ""Extra pillows and blankets"", ""Children\u2019s dinnerware"", ""Wifi"", ""Dishes and silverware"", ""Fireplace guards"", ""Game console"", ""Smoke alarm"", ""Hangers"", ""Kitchen"", ""Dedicated workspace"", ""Pack \u2019n play/Travel crib""]",196.0,1,1125,1.0,1.0,1125.0,1125.0,1.0,1125.0,,t,29,59,89,364,2023-09-06,28,0,0,2018-04-29,2020-06-18,4.93,4.94,5.0,5.0,5.0,4.83,4.67,,f,9,9,0,0,0.43
24361926,https://www.airbnb.com/rooms/24361926,20230906022807,2023-09-06,previous scrape,Rental unit in London · ★4.69 · 1 bedroom · 1 bed · 1 shared bath,"The room has a big window and is very bright!<br />The house has a living room with TV, a separate kitchen and a small patio.<br />We welcome anyone who has respect for others and strictly no drugs or parties in the house.<br />It’s 2 others in the house including me. Room hasn’t got a key.<br />Wi-Fi is included and is very fast and reliable as well as a Washing machine.<br />The flat is split in 2 levels and is located 1 min from bus stations to central London and 2 mins from the beautiful Battersea Park.",,https://a0.muscache.com/pictures/72ef4da7-5557-455a-a863-2807fb48b9af.jpg,17049877,https://www.airbnb.com/users/show/17049877,Luigi,2014-06-20,"England, United Kingdom","Hi, I’m Luigi I’m a professional originally from Italy. I speak Italian, English and Spanish.
I’m a very reliable and trustworthy person.
My hobbies are football both watching and playing and watching tv.
",,,,f,https://a0.muscache.com/im/users/17049877/profile_pic/1403304106/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/17049877/profile_pic/1403304106/original.jpg?aki_policy=profile_x_medium,,1.0,1.0,"['email', 'phone']",t,t,,Wandsworth,,51.47736,-0.16824,Private room in rental unit,Private room,2,,1 shared bath,,1.0,"[""Bathtub"", ""Heating"", ""Stove"", ""Hot water"", ""Iron"", ""Carbon monoxide alarm"", ""Host greets you"", ""Waterfront"", ""Wifi"", ""Paid parking on premises"", ""Oven"", ""Refrigerator"", ""TV"", ""Smoke alarm"", ""Kitchen"", ""Microwave"", ""Cleaning available during stay"", ""Hair dryer"", ""Patio or balcony"", ""Essentials""]",30.0,1,30,1.0,2.0,30.0,30.0,1.3,30.0,,t,0,0,0,0,2023-09-06,13,0,0,2018-05-03,2020-06-13,4.69,4.92,4.77,4.92,5.0,4.85,4.85,,f,1,0,1,0,0.2
26837885,https://www.airbnb.com/rooms/26837885,20230906022807,2023-09-07,previous scrape,Home in Greater London · ★4.66 · 1 bedroom · 1 bed · 1 shared bath,"Property is in very good location. 5 minutes walk to London Excel. Only 20 minutes away from Central. 15 minutes away from Stratford, where you have famous Westfield shopping mall.  10 minutes away from Canning Town, where you have 24 hours tube service on weekends. London Bridge also only 15 minutes away. Good location, easy access to almost all London eye-catching locations, only 15 minutes away from London City Airport.<br /><br /><b>The space</b><br />It is 3 bed room beautiful house. 1 room available. It’s a single room with double bed in it. Ideal for 1 guest. Simple, clean and bright room ( as can be seen in pictures). It has shared 3 piece bathroom, shared kitchen, appliances are available, like fridge, freezer, washing machine, etc.<br /><br /><b>Guest access</b><br />Apart from a private room, guest can have access in all sharing areas. No smoking allowed in premises.<br /><br /><b>During your stay</b><br />I am available myself. If I am not there physically, then can be cont","It’s residential and peaceful, therefore I love to stay here. Neighbourhood is quiet and safe. There is also a park at the back of property.",https://a0.muscache.com/pictures/b88bc2e2-6ae0-4107-930b-2e3a430cb889.jpg,201824209,https://www.airbnb.com/users/show/201824209,Usman,2018-07-12,"London, United Kingdom","I work in central as a manager. I have different shift patterns. I like to read books,  internet browsing, travelling etc..",,,,f,https://a0.muscache.com/im/pictures/user/ec543bce-2c3e-4a5c-97f0-f7e37af017d7.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/ec543bce-2c3e-4a5c-97f0-f7e37af017d7.jpg?aki_policy=profile_x_medium,LB of Newham,3.0,3.0,"['email', 'phone']",t,t,"Greater London, England, United Kingdom",Newham,,51.51006,0.03061,Private room in home,Private room,1,,1 shared bath,,1.0,"[""Window guards"", ""Bathtub"", ""Room-darkening shades"", ""Heating"", ""Hot water"", ""Iron"", ""Lock on bedroom door"", ""Wifi"", ""Shampoo"", ""Dishes and silverware"", ""Smoking allowed"", ""Smoke alarm"", ""Kitchen"", ""Washer"", ""Essentials"", ""Private entrance""]",20.0,1,1125,1.0,1.0,1125.0,1125.0,1.0,1125.0,,t,0,0,0,0,2023-09-07,167,0,0,2018-07-16,2020-06-15,4.66,4.86,4.25,4.89,4.96,4.81,4.81,,f,3,0,3,0,2.66
27249242,https://www.airbnb.com/rooms/27249242,20230906022807,2023-09-07,previous scrape,Rental unit in Greater London · ★4.63 · 1 bedroom · 1 bed · 1 shared bath,"A private single room next to Old Street station.<br />The flat is located in Zone 1.  Great and safe location. You will find around McDonald's, Supermarkets, Starbucks, 24/7 shops, bars, famous clubs (XOYO, Cargo).<br /><br />The room and the flat are basics. If you are looking for hotel its not the place, though it's a great space for a single traveller who is looking for a budget alternative in London, in a central location.<br />I will make whatever is needed to make your stay great!<br /><br /><b>The space</b><br />We are totally 3 flatmates in the flat.<br />We have an extra room in the flat which we sometimes do Airbnb in.<br />Kitchen, toilet and bath are all basic.<br /><br /><b>Guest access</b><br />Check-In: Check-In time isf flexible<br />If you'll check-in before 10AM I will welcome you.<br />After 10AM it will be self check-in (the key will be collected from downstairs).<br /><br />Checkout: Check-Out  from the room is at 9AM, since I usually need to clean it for the next","2(!) minutes away by walk you will find Tesco(Supermarket), post office and launderette.<br />10 minutes away by walk from main underground station (Old Street Station). <br />10 minutes away by walk from McDonalds and Starbucks.<br />Full of nightlife and restaurants  around.  Shoreditch considered as one of most trendy neighborhoods in London and the world.",https://a0.muscache.com/pictures/2ddc4b02-3534-497c-85fd-dd339f19a3c7.jpg,145638160,https://www.airbnb.com/users/show/145638160,Samuel,2017-08-12,"London, United Kingdom","Hi, my name is Sam.
I am letting  my room when ever I am abroad.",,,,f,https://a0.muscache.com/im/pictures/user/acb5cc34-6d84-425a-870f-f171840ebe1c.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/acb5cc34-6d84-425a-870f-f171840ebe1c.jpg?aki_policy=profile_x_medium,Shoreditch,1.0,2.0,"['email', 'phone']",t,t,"Greater London, England, United Kingdom",Hackney,,51.53119,-0.08762,Private room in rental unit,Private room,1,,1 shared bath,,1.0,"[""Heating"", ""Elevator"", ""Lock on bedroom door"", ""Wifi"", ""Shampoo"", ""Kitchen"", ""Essentials""]",34.0,1,14,1.0,1.0,1125.0,1125.0,1.0,1125.0,,t,0,0,0,0,2023-09-07,83,0,0,2018-08-04,2020-06-09,4.63,4.87,4.21,4.9,4.93,4.83,4.77,,t,1,0,1,0,1.34
29274285,https://www.airbnb.com/rooms/29274285,20230906022807,2023-09-07,city scrape,Home in Greater London · ★5.0 · 1 bedroom · 1 bed · 1 private bath,"The house is located half way between Putney, Southfields and Wimbledon. Wimbledon Common and Wimbledon Tennis Club are at either end of the street!<br />The house is quiet and calm, located on a lush quiet road. The room overlooks a lovely London Plane tree. There is a double bed, a closet with drawers and a bookshelf. <br />The bathroom is for you own use. The kitchen has a lovely breakfast bar and is fully kitted out.<br /><br /><b>Guest access</b><br />You are welcome to use the kitchen, living room and dinning room. The garden is part of the studio below. You have lovely views of the garden from the living room.<br /><br /><b>During your stay</b><br />I am available by phone during the week. During the weekend we can chat and share a glass of wine.",,https://a0.muscache.com/pictures/5a033d67-01ff-4514-93a5-f42c7d2a6d36.jpg,3005980,https://www.airbnb.com/users/show/3005980,Christine,2012-07-21,"London, United Kingdom","I live in London in the Wimbledon area close from the village. Being an architect I enjoy seeing buildings, exhibitions.The only way to see a city is by walking you can appreciate and see so much more and naturally taking pictures. I have a passion for food & cooking. I enjoy having friends around and entertaining. Love cakes the last time we were in Barcelona I notice how wonderful the cakes were, being french les patisseries are an important part of life... christine

",within a day,100%,56%,t,https://a0.muscache.com/im/pictures/user/09b6d422-ea36-4a96-b416-9f813abbe081.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/09b6d422-ea36-4a96-b416-9f813abbe081.jpg?aki_policy=profile_x_medium,Wimbledon,3.0,3.0,"['email', 'phone']",t,t,,Merton,,51.43299,-0.22246,Private room in home,Private room,1,,1 private bath,,1.0,"[""Self check-in"", ""Heating"", ""Hair dryer"", ""Iron"", ""Washer"", ""Carbon monoxide alarm"", ""Lockbox"", ""Wifi"", ""Dishes and silverware"", ""Free parking on premises"", ""Private living room"", ""Smoke alarm"", ""Dryer"", ""Kitchen"", ""Hangers"", ""Essentials"", ""Air conditioning"", ""Cooking basics""]",85.0,5,1125,5.0,5.0,1125.0,1125.0,5.0,1125.0,,t,10,40,70,317,2023-09-07,3,0,0,2018-11-29,2020-06-14,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,f,3,2,1,0,0.05
32740123,https://www.airbnb.com/rooms/32740123,20230906022807,2023-09-06,previous scrape,Rental unit in Greater London · ★5.0 · 2 bedrooms · 3 beds · 2 baths,"This stunning 1,100 square foot modern apartment is located in Angel, comes with a wonderful open space living area and balcony. It is newly built and comes with all the creature comforts you expect from a luxury apartment. <br /><br />It features 2 bedrooms with 2 bathrooms, so perfect for families and couples to have their own privacy and comfort. You are within walking distance of Angel Station and the wonderful canals which are perfect for a day time stroll.<br /><br /><b>The space</b><br />-24/7 guest support<br /> - Professionally cleaned <br />- Hotel-quality bed linen and towels<br /> - 24/7 check-in as there is a lockbox with the keys<br /><br />    Kitchen: <br />- Fully equipped<br /> - Oven<br /> - Stove<br /> - Refrigerator","Situated in bustling North London, it is one of the best places to live in the city, because of the location, amazing restaurants and bars and cultural atmosphere. Located in Islington, on the Northern edge of central London, Angel manages to be close to all the action, but still retain its own cultural and creative identity, something which you will experience yourself with amazing canals and canal-side pubs!<br /><br />There are bars with all types of cuisine, while the high-street shops of the N1 centre and vintage delights of Camden Passage will satisfy even the most fussy shopper.",https://a0.muscache.com/pictures/8f1ed7a1-4193-4cb1-8502-f853f0278d87.jpg,245942368,https://www.airbnb.com/users/show/245942368,Gerard,2019-02-28,"England, United Kingdom",,,,,f,https://a0.muscache.com/im/pictures/user/4f4a93fc-c9af-4ae5-953b-e421b5dcc715.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/4f4a93fc-c9af-4ae5-953b-e421b5dcc715.jpg?aki_policy=profile_x_medium,Islington,1.0,1.0,"['email', 'phone']",t,t,"Greater London, England, United Kingdom",Islington,,51.53568,-0.09427,Entire rental unit,Entire home/apt,4,,2 baths,2.0,3.0,"[""Single level home"", ""Shampoo"", ""Dryer"", ""Microwave"", ""Coffee maker"", ""Bed linens"", ""Hot water"", ""Iron"", ""Washer"", ""Patio or balcony"", ""Cooking basics"", ""Heating"", ""Dishwasher"", ""Oven"", ""Refrigerator"", ""TV"", ""Hair dryer"", ""Essentials"", ""Private entrance"", ""Stove"", ""Elevator"", ""Wifi"", ""Dishes and silverware"", ""Smoke alarm"", ""Kitchen"", ""Hangers""]",150.0,2,365,2.0,2.0,1125.0,1125.0,2.0,1125.0,,t,0,0,0,0,2023-09-06,3,0,0,2019-04-14,2020-06-29,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,f,1,1,0,0,0.06
33226684,https://www.airbnb.com/rooms/33226684,20230906022807,2023-09-06,previous scrape,Rental unit in Greater London · ★4.56 · 2 bedrooms · 3 beds · 1 bath,"Great apartment in central London comfortably accommodates up to 5 people. Really easy access to everywhere in London. <br />12mins walk to King's Cross station from where you can take the Underground to everywhere in Central London with 6 underground lines, 2 overground lines and International Eurostar.  <br />Go to Piccadilly Circus , Leicester Square or Green Park in minutes.<br />Excellent transport link warranted!<br /><br /><b>The space</b><br />A great apartment in central London. Excellent transport link to all major attractions and really easy connection from & to all airports.<br /><br />2 bedroom plus sofa bed accommodate up to 5 people.<br /><br />Apartment <br />- Wi-Fi - Broadband <br />- Living room - large comfortable sofa-bed<br />- TV 42 inches <br />- Toiletries and towels <br />- Kitchen fully equipped with modern appliances <br />- Washing machine (washer-drier), iron and ironing board <br />- Central location close to London sights <br />- Very quiet <br />- Bathr",SAFE & QUIET neighbourhood with with an amazing supermarket (Waitrose) on your way from the station to the apartment,https://a0.muscache.com/pictures/f512d956-67c2-4cef-9d47-f5ba50f2f0fc.jpg,114041206,https://www.airbnb.com/users/show/114041206,Maria,2017-01-30,"England, United Kingdom","As a host, I make sure that your apartment is fully equipped so you have everything you would need so you don't miss your own home.   
I manage a few apartments with the assistance of two lovely friends who will assist you from day one.  
We provide our guests with all the information they could ever need, and provide a House Manual with useful links 
You will definitely have a great stay in London!",within a few hours,90%,100%,f,https://a0.muscache.com/im/pictures/user/0aa0e217-cd91-48f7-ba61-72beb1221f29.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/0aa0e217-cd91-48f7-ba61-72beb1221f29.jpg?aki_policy=profile_x_medium,Whitechapel/Brick Lane,28.0,43.0,"['email', 'phone']",t,t,"Greater London, England, United Kingdom",Islington,,51.53947,-0.12105,Entire rental unit,Entire home/apt,5,,1 bath,2.0,3.0,"[""Shampoo"", ""Dryer"", ""Microwave"", ""Coffee maker"", ""Self check-in"", ""Bed linens"", ""High chair"", ""Hot water"", ""Iron"", ""First aid kit"", ""Lockbox"", ""Paid parking off premises"", ""Washer"", ""Fire extinguisher"", ""Cooking basics"", ""Patio or balcony"", ""Heating"", ""Dishwasher"", ""Shower gel"", ""Ethernet connection"", ""Oven"", ""Refrigerator"", ""TV"", ""Hair dryer"", ""Essentials"", ""Private entrance"", ""Stove"", ""Carbon monoxide alarm"", ""Extra pillows and blankets"", ""Wifi"", ""Dishes and silverware"", ""Smoke alarm"", ""Kitchen"", ""Hangers"", ""Pack \u2019n play/Travel crib""]",105.0,4,90,4.0,4.0,90.0,90.0,4.0,90.0,,t,0,0,0,0,2023-09-06,16,0,0,2019-04-02,2020-06-07,4.56,4.69,4.63,4.81,4.63,4.5,4.25,,f,27,27,0,0,0.3
36112705,https://www.airbnb.com/rooms/36112705,20230906022807,2023-09-07,previous scrape,Rental unit in Greater London · ★4.92 · 2 bedrooms · 2 beds · 1 bath,Fully Refurbished luxury 2 Bed Ground Floor Lateral Apartment<br />818 Sq.Ft. (76 Sq.M.).<br />Private entrance;<br />In a Riverside Development;<br />South Facing Patio Off Bedroom & Reception Room;<br />Fastest broadband in the UK;<br />Beautiful Communal Gardens & Riverside Access;<br />Grove Park & Strand on the Green Shopping Parades;<br />Chiswick Overground ((30 Mins To Waterloo);<br />Easy Access To A4/M4 Motorway.<br />Automatic Check-in process.<br /><br /><b>The space</b><br />The apartment has been fully refurbished for sale and is therefore not suitable for young children.<br /><br /><b>Guest access</b><br />Everything inside the apartment is at the guest’s availability. The communal gardens all the way to the riverfront are also available for guests to enjoy.,"Chiswick is a highly desirable area of London, with plenty of parks, riverside pubs, shops and cafes. We can share more neighbourhood secrets with guests when they tell us what they are looking for.",https://a0.muscache.com/pictures/7caa956f-c1df-406b-94c5-0c575d52bb68.jpg,22446764,https://www.airbnb.com/users/show/22446764,Thomas,2014-10-12,"England, United Kingdom","I am a traveler myself, so I understand the needs of modern people and families when staying abroad. I love exploring new cities and countries. As a host, I want my guests to experience London as Londoners and will share my tips and favourite places in parts where most visitors never visit.
I am a local guide on (Search engine) and Tripadvisor and my reviews have been read over 47,000 times. I look forward to hosting you!",,,,f,https://a0.muscache.com/im/pictures/user/b9e78a65-27ca-4d5a-8f28-5780acfc408c.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/b9e78a65-27ca-4d5a-8f28-5780acfc408c.jpg?aki_policy=profile_x_medium,LB of Hounslow,1.0,1.0,"['email', 'phone', 'work_email']",t,f,"Greater London, England, United Kingdom",Hounslow,,51.47687,-0.27239,Entire rental unit,Entire home/apt,4,,1 bath,2.0,2.0,"[""Single level home"", ""Indoor fireplace"", ""Waterfront"", ""Shampoo"", ""Coffee maker"", ""Self check-in"", ""Bed linens"", ""Hot water"", ""Iron"", ""First aid kit"", ""Lockbox"", ""Washer"", ""Fire extinguisher"", ""Cooking basics"", ""Patio or balcony"", ""Heating"", ""Dishwasher"", ""TV with standard cable"", ""Shower gel"", ""Free street parking"", ""Ethernet connection"", ""Oven"", ""Refrigerator"", ""Hair dryer"", ""Essentials"", ""Private entrance"", ""Long term stays allowed"", ""Stove"", ""Carbon monoxide alarm"", ""Extra pillows and blankets"", ""Wifi"", ""Dishes and silverware"", ""Smoke alarm"", ""Kitchen"", ""Hangers""]",117.0,5,30,5.0,5.0,30.0,30.0,5.0,30.0,,t,0,0,0,0,2023-09-07,13,0,0,2019-07-15,2020-06-12,4.92,4.92,4.92,5.0,5.0,4.92,4.92,,f,1,1,0,0,0.26
38505533,https://www.airbnb.com/rooms/38505533,20230906022807,2023-09-07,previous scrape,Condo in Greater London · ★4.80 · 2 bedrooms · 3 beds · 2 baths,"This property has been carefully designed to offer our guests everything they could need during their stay.<br />The property is bright and spacious with a large open plan lounge/dining room with a large balcony and a new modern kitchen. There are two bedrooms, one with an en-suite. The property has two bathrooms.<br /><br />The property is served by excellent transport links. You can reach London in as little as 16 minutes. <br /><br />Please message me for discount of booking which is more than 3 months.<br /><br /><b>The space</b><br />A newly renovated two-bedroom apartment in the heart of Bromley. The property is set back from the road in a gated community. The property is a 3-minute walk to Bromley Centre. <br /><br />The property is a short walk to two different stations. Bromley North station and Shortlands station. <br /><br />The apartment offers a bright and spacious living space including a beautiful open plan lounge/dining room with a large balcony and a modern kitchen. Th","Bromley is one of the busiest, most welcoming and architecturally innovative places to visit in the south-east. <br />Bromley has a large shopping centre called 'The Glades' which has over 100 shops and 30 different restaurants. There are two cinemas, one theatre, free tennis courts, playgrounds, parks, leisure centre (with a pool and bowling), a great library all in the town centre. <br />I would highly recommend visiting the following places in Bromley;<br />1)Crystal Palace Park on a sunny day. The park is considered one of the most important parks in Britain. It has recently become the home to the National Sports Centre and it has plenty of things to see, from model dinosaurs dating back to the Victorian age, to a children’s farm and a maze. It is definitely a must-see.<br />2)Chislehurst Caves. Chislehurst Caves is great fun for both adults and children. It is a maze-line network of man-made tunnels used over centuries, including during WWII, with guided tours.<br />3) Visit Downs",https://a0.muscache.com/pictures/1a14160d-7fa3-4f1f-92fe-7cb5a248dc68.jpg,241022961,https://www.airbnb.com/users/show/241022961,Jessica,2019-02-04,"England, United Kingdom",,within an hour,100%,97%,f,https://a0.muscache.com/im/pictures/user/f3e4937c-595c-4f7c-bfc8-f3085666f01b.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/f3e4937c-595c-4f7c-bfc8-f3085666f01b.jpg?aki_policy=profile_x_medium,LB of Bromley,11.0,16.0,"['email', 'phone']",t,t,"Greater London, England, United Kingdom",Bromley,,51.40758,0.00989,Entire condo,Entire home/apt,4,,2 baths,2.0,3.0,"[""Shampoo"", ""Dryer"", ""Microwave"", ""Coffee maker"", ""Bed linens"", ""Hot water"", ""Iron"", ""Smoking allowed"", ""Washer"", ""Patio or balcony"", ""Cooking basics"", ""Heating"", ""Dishwasher"", ""TV with standard cable"", ""Free parking on premises"", ""Oven"", ""Refrigerator"", ""Hair dryer"", ""Essentials"", ""Long term stays allowed"", ""Babysitter recommendations"", ""Room-darkening shades"", ""Stove"", ""Elevator"", ""Carbon monoxide alarm"", ""Extra pillows and blankets"", ""Wifi"", ""Dishes and silverware"", ""Smoke alarm"", ""Kitchen"", ""Hangers""]",110.0,14,240,14.0,14.0,1125.0,1125.0,14.0,1125.0,,t,0,0,0,0,2023-09-07,5,0,0,2019-10-12,2020-06-15,4.8,5.0,5.0,5.0,5.0,4.8,4.4,,t,9,9,0,0,0.11
