id,listing_url,scrape_id,last_scraped,source,name,description,neighborhood_overview,picture_url,host_id,host_url,host_name,host_since,host_location,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_thumbnail_url,host_picture_url,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
81410,https://www.airbnb.com/rooms/81410,20230906022807,2023-09-07,city scrape,Rental unit in London · ★4.84 · 2 bedrooms · 4 beds · 2 baths,"Prices dropped due to construction nearby.<br />This Modern/Epoque flat is a few minutes away from Regent's street and Oxford street, the Christmas shopping ground zero streets of London. A home away from home. Perfect spacious apartment to be in Christmas time.<br /><br /><b>The space</b><br />THE FLAT IS LOCATED WITHIN 15 MINUTES WALK OF THE THEATRE DISTRICT. 2 TUBE STATION SERVING 5 LINES.<br /><br />2 BEDROOMS 2 BATHS Maisonette (two-story apartment) made up of the ground and lower ground floors of Georgian townhouse in central London. <br /><br />Recently renovated to high standard with very modern bathrooms and kitchen. <br /><br />The flat's front door opens directly off of the street, it does not share a communal entrance. <br />Ground floor, which comprises entrance hall, living room, dining room, and kitchen, retains many period features such as original wood panelling, shutters, fireplaces and plaster cornices.<br />Fully equipped kitchen, feel free to prepare any gourmet me","Neatly tucked away between the wealth of Marylebone, the edgy energy of Soho and the grandeur of Bloomsbury, Fitzrovia is peaceful and attractive, home to small media organisations, small pubs and small restaurants and a smattering of decent hotels. Wide streets lined with tall buildings in Victorian brick mingle with cosy side alleys, with a variety of architectural styles from the eighteenth century to the present day, all of it dominated by the BT Tower, one of London’s tallest and most iconic buildings. Tottenham Court Road is the major shopping street, and the best place in London to look for home furnishings and electronic goods. The area around Oxford Street mixes good high street shops with pubs and bars catching the overflow from Soho’s nightlife.",https://a0.muscache.com/pictures/721042/62bae869_original.jpg,441494,https://www.airbnb.com/users/show/441494,Fernando,2011-03-14,"London, United Kingdom","Adventurous,
I am always on the go, I love to travel and have stayed in more than 100 airbnbs around the world. I take great attention to positive criticism and I have learnt a lot through my travels. I try my best to recreate the best environment for my guests.  
I love cinema, theatre and good food! 
London is a great city to live and to explore and my flat is in a great area to explore all London has to offer. ",within a few hours,93%,89%,f,https://a0.muscache.com/im/pictures/user/ff6da77b-bed0-425b-98cd-809f97757c58.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/ff6da77b-bed0-425b-98cd-809f97757c58.jpg?aki_policy=profile_x_medium,Fitzrovia,13.0,38.0,"['email', 'phone']",t,t,"London, England, United Kingdom",Camden,,51.52139,-0.13932,Entire rental unit,Entire home/apt,5,,2 baths,2.0,4.0,"[""Private patio or balcony"", ""Shampoo"", ""Luggage dropoff allowed"", ""Dryer"", ""Microwave"", ""Coffee maker"", ""Self check-in"", ""Private hot tub"", ""Hot water"", ""Iron"", ""First aid kit"", ""Lockbox"", ""Paid parking off premises"", ""Washer"", ""Cooking basics"", ""Heating"", ""Dishwasher"", ""TV with standard cable"", ""Children\u2019s books and toys"", ""Oven"", ""Refrigerator"", ""Hair dryer"", ""Essentials"", ""Long term stays allowed"", ""Stove"", ""Carbon monoxide alarm"", ""Backyard"", ""Wifi"", ""Dishes and silverware"", ""Smoke alarm"", ""Kitchen"", ""Hangers"", ""Dedicated workspace"", ""Pack \u2019n play/Travel crib""]",331.0,3,1125,3.0,3.0,1125.0,1125.0,3.0,1125.0,,t,22,39,69,329,2023-09-07,213,0,0,2011-07-03,2020-10-20,4.84,4.82,4.8,4.83,4.9,4.92,4.64,,f,7,7,0,0,1.44
1296836,https://www.airbnb.com/rooms/1296836,20230906022807,2023-09-06,city scrape,Rental unit in Westminster · ★4.89 · 1 bedroom · 1 bed · 1 shared bath,"An exciting opportunity to stay in a unique part of London, which is Covent Garden. Enjoy the diversity with its quirky  market stalls, pubs, street entertainment and so much more. Enjoy a meal in one of the numerous local restaurants, or book a night at the opera or theatre.<br /><br /><b>The space</b><br />The flat forms part of a listed Edwardian mansion block. It holds a number of original features, is fully furnished and commands an excellent location, being only 2 minutes walk from the Covent Garden tube station and piazza.<br /><br />Situated in a safe area and normally one of the quieter streets, St Martin's Courtyard is also close by, with it's showcase of fashionable shops and restaurants. A nice touch, are the original street gas lamps that are illuminated in the evening. <br /><br />The accommodation comprises a cozy and comfortable double sized room with share of the generously proportioned kitchen/diner, bathroom and all available facilities.<br /><br />The room is carpet","Covent Garden is a happy place to be with a positive and upbeat vibe. Cosmopolitan, with a mixture of people including local residents, local office workers and business people, tourists and the many visitors to the pubs, restaurants and theatres etc.  Home to the Royal Opera House and English National Opera, you will have easy access to all that is available to you and literally on your own doorstep too. Covent Garden is also an ideal springboard location to all the sites and other parts of London and beyond. Truly something to suit everyone and suitable for all age groups, young and and the more mature alike.",https://a0.muscache.com/pictures/39848462/46880298_original.jpg,7050882,https://www.airbnb.com/users/show/7050882,Michael,2013-06-22,"London, United Kingdom","Originally from South Wales, I have now lived in London for most of my adult life.
 
Worldly in outlook and with a good sense of humour.  Sensible, kind and optimistic with a quietly calm yet confident disposition who enjoys meeting new people. Motto of my first school was ""Manners Maketh Man"" and I still follow this in my everyday life.

I do not smoke and enjoy the occasional visit to the pub. I also enjoy good food and eat sensibly, at least some of the time anyway!
 
I love living in London with all it has to offer, but equally like to travel from time to time, including the adventure of the odd city break.
 
I enjoy many sports, particularly rugby and boxing, and other interests include listening to many kinds of music, particularly classical and opera.
 
",,,33%,f,https://a0.muscache.com/im/users/7050882/profile_pic/1371918107/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/7050882/profile_pic/1371918107/original.jpg?aki_policy=profile_x_medium,,1.0,2.0,"['email', 'phone']",t,t,"Westminster, London, United Kingdom",Westminster,,51.51199,-0.12693,Private room in rental unit,Private room,1,,1 shared bath,,1.0,"[""Indoor fireplace"", ""Shampoo"", ""Microwave"", ""Coffee maker"", ""Hot water"", ""Iron"", ""First aid kit"", ""Washer"", ""Fire extinguisher"", ""Cooking basics"", ""Heating"", ""Oven"", ""Refrigerator"", ""TV"", ""Hair dryer"", ""Essentials"", ""Stove"", ""Carbon monoxide alarm"", ""Wifi"", ""Dishes and silverware"", ""Smoke alarm"", ""Kitchen"", ""Breakfast"", ""Hangers""]",65.0,1,182,1.0,1.0,182.0,182.0,1.0,182.0,,t,0,0,0,37,2023-09-06,560,0,0,2013-08-18,2020-10-26,4.89,4.91,4.93,4.96,4.97,4.97,4.85,,f,1,0,1,0,4.58
3057492,https://www.airbnb.com/rooms/3057492,20230906022807,2023-09-07,previous scrape,Rental unit in London · ★4.82 · 1 bedroom · 2 beds · 1 bath,"3rd floor 1 bedroom balcony flat in Islington. <br /><br />Sunny, spacious and colourful.<br /><br />Large living room new double sofa bed and large double bedroom.<br /><br />Open plan living room with fully equipped kitchen, if you like cooking!<br /><br />Balcony overlooking a park and green space. Very convenient transport.<br /><br /><b>The space</b><br />Cute double bedroom flat with a spacious living room featuring a new double sofa bed that can easily sleep 2 adults. I do not charge for extra people, its pointless and bad karma. Just respect the flat please.<br /><br />The bedroom features a mew double bed. The new luxury Silentnight mattress topper will guarantee a fantastic night's sleep.<br />Clean bed linen, towels and two pillows are also provided. A compartment in the wardrobe will be completely empty for your stuff.<br /><br />Towels, bedsheets, shampoo, conditioner, body lotions, pillows, coffee, tea, cooking condiments etc<br /><br />Open plan living room with fully eq","Plenty of smaller and large supermarkets in walking distance, the closest are on Essex road (5min walk)<br /><br />Kebab. My local is called Palmera Oasis and it delivers - eating there for 3 years and Im still alive. Actually its mixed grill is very good!!<br /><br />Thai. On Saint Pauls road, Coconut Grove. Will not deliver but its 5min to walk, pretty good and cheap.<br /><br />Indian. On Balls Pond road Art Of Spices. It delivers<br /><br />Steak. There is an Argentinian steak house 5min walk on Essex road.<br /><br />The local pub on Essex road Islington Inn is brilliant. And so is the Stag's Head on Tottenham road.",https://a0.muscache.com/pictures/bf76427b-2ff0-40f7-9ff3-9be3f25b8645.jpg,15563234,https://www.airbnb.com/users/show/15563234,Angelo,2014-05-15,"London, United Kingdom","Friendly, outgoing and sporty guy who loves colour and parties!",,,100%,f,https://a0.muscache.com/im/pictures/user/1807a66f-fccd-4477-98af-d991e8e58cec.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/1807a66f-fccd-4477-98af-d991e8e58cec.jpg?aki_policy=profile_x_medium,Canonbury,2.0,2.0,"['email', 'phone']",t,t,"London, United Kingdom",Islington,,51.54653,-0.08859,Entire rental unit,Entire home/apt,3,,1 bath,1.0,2.0,"[""Self check-in"", ""Heating"", ""Elevator"", ""Hair dryer"", ""Iron"", ""Washer"", ""First aid kit"", ""Lockbox"", ""Wifi"", ""Shampoo"", ""Dishes and silverware"", ""Refrigerator"", ""TV"", ""Smoke alarm"", ""Kitchen"", ""Hangers"", ""Essentials""]",59.0,5,1125,5.0,5.0,1125.0,1125.0,5.0,1125.0,,t,0,0,0,0,2023-09-07,47,0,0,2016-03-28,2020-10-06,4.82,4.8,4.6,4.91,4.91,4.68,4.7,,f,2,2,0,0,0.52
4665330,https://www.airbnb.com/rooms/4665330,20230906022807,2023-09-06,city scrape,Home in London · ★4.33 · 2 bedrooms · 3 beds · 1 bath,"We have an open-plan mid-century home on the edge of Victoria Park, Hackney. It has a 30ft high slanted wooden roof, and sliding patio doors opening onto a self-contained garden. An open staircase leads up to an open kitchen/dining and 2 bedrooms. We are currently renovating so the toilet room is a work in progress as shown in the photos. It is a brand-new toilet. We currently have 2 desks downstairs as we have been working from home.<br /><br /><b>The space</b><br />The mid-century style is unusual in London, yet it gives a sense of space and sanctuary in a very busy city. The wood features are exquisite and the huge glass doors frame a private garden with huge lime trees beyond the garden fence.<br /><br /><b>Guest access</b><br />The whole house and garden. Parking available outside the house.","Victoria Park village is a leafy community near Victoria Park. We have the market every Saturday at London Fields, a 5-minute walk, and every Sunday there is a market in Victoria Park, just 2-minutes walk from our house. In Victoria Park village there is organic meats, a devoted fishmonger, dry cleaning, bakery goods, and a Post Office.",https://a0.muscache.com/pictures/miso/Hosting-4665330/original/9c2e12a8-47be-47aa-9629-e26c1bc2926d.jpeg,499662,https://www.airbnb.com/users/show/499662,Sarita,2011-04-11,"London, United Kingdom","I am a filmmaker at my small film company Alchemy Films. Making documentaries I travel quite a bit and understand the need for a sanctuary when you are away from home. 


",,,,f,https://a0.muscache.com/im/pictures/user/41dfa570-f27a-4c9b-a75e-9a1bb58525d3.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/41dfa570-f27a-4c9b-a75e-9a1bb58525d3.jpg?aki_policy=profile_x_medium,Hackney,1.0,6.0,"['email', 'phone', 'work_email']",t,t,"London, England, United Kingdom",Hackney,,51.53679,-0.05356,Entire home,Entire home/apt,4,,1 bath,2.0,3.0,"[""Indoor fireplace"", ""Private patio or balcony"", ""Self check-in"", ""Bed linens"", ""Private backyard \u2013 Fully fenced"", ""Hot water"", ""Iron"", ""Outdoor dining area"", ""First aid kit"", ""Lockbox"", ""Outdoor furniture"", ""Washer"", ""Fire extinguisher"", ""Board games"", ""Heating"", ""Children\u2019s books and toys"", ""Refrigerator"", ""Essentials"", ""Private entrance"", ""Carbon monoxide alarm"", ""Extra pillows and blankets"", ""Wifi"", ""Dishes and silverware"", ""Smoke alarm"", ""Kitchen"", ""Dedicated workspace""]",203.0,5,21,5.0,5.0,21.0,21.0,5.0,21.0,,t,0,0,4,279,2023-09-06,4,0,0,2016-05-20,2020-10-15,4.33,4.33,4.33,5.0,5.0,5.0,4.5,,f,1,1,0,0,0.05
6396184,https://www.airbnb.com/rooms/6396184,20230906022807,2023-09-07,previous scrape,Rental unit in London · ★4.78 · 2 bedrooms · 2 beds · 1 bath,"Come & stay in this gorgeous  high ceiling garden flat in a Victorian era house in Kensal Green, close to Portobello Rd/market, West London. 2 double bedrooms, with separate reception/living room & kitchen. One bedroom faces the pretty rear garden. As it's in a quiet residential area and these old buildings have limited sound insulation, airbnb guests will therefore need to minimise sound production after 9pm in the flat/garden, thus the flat is unsuitable for young or others who like to party.<br /><br /><b>The space</b><br />The flat (apartment) has whitewashed wooden floors and gets lots of sunlight throughout the day. It's peaceful and beautifully quiet. There is a UK/US standard double bed in the master bedroom and a sofa bed (UK/US standard double) in the room at the rear with access to the garden.  There is also a sofa in the living room that a small person could sleep on, and a single airbed stored in a cupboard, that can also be removed and used for another person.<br /><br />","The flat is situated in a peaceful residential street in Kensal Green. Yet there is a decent non-rowdy (ie respectable) pub approx 20 metres from the apartment (that's just 22 yards!) which serves traditional English food, a convenience store 10 metres further (open from 8am till 11pm) selling pretty well every thing including some fruit & vegetables, and beside that a few other shops including an upmarket cafe ('Graceland') with quality healthy meals, and an excellent Italian deli ('L'Angelo'), both of which have both indoor and outdoor seating.<br />Further shops (including a fish & chips shop & a simple cafe with middle eastern food) are located about 250 metres away to the south - nearly half way to the nearby underground (tube) station (Kensal Green).<br />Also accessible by foot are the shopping areas of Kensal Rise (600 metres - under 10 mins walk ) and of Salusbury Road (20 minutes walk).<br />Portobello Road market in Notting Hill is a 5 minute drive away (40 minute walk).",https://a0.muscache.com/pictures/80125563/03885f6f_original.jpg,3555071,https://www.airbnb.com/users/show/3555071,Joel,2012-09-13,"London, United Kingdom","I love to travel, immerse myself in other's cultures, traditions, street food and entertainment. 

",,,,f,https://a0.muscache.com/im/pictures/user/3ad2cd5d-59e2-4582-a8ec-20cd0378f88b.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/3ad2cd5d-59e2-4582-a8ec-20cd0378f88b.jpg?aki_policy=profile_x_medium,LB of Brent,1.0,5.0,"['email', 'phone', 'work_email']",t,t,"London, United Kingdom",Brent,,51.53327,-0.22743,Entire rental unit,Entire home/apt,2,,1 bath,2.0,2.0,"[""Bathtub"", ""Laundromat nearby"", ""Shampoo"", ""Self check-in"", ""Bed linens"", ""Hot water"", ""Iron"", ""First aid kit"", ""Lockbox"", ""Paid parking off premises"", ""Washer"", ""Fire extinguisher"", ""Heating"", ""TV"", ""Outlet covers"", ""Hair dryer"", ""Essentials"", ""Carbon monoxide alarm"", ""Wifi"", ""Smoke alarm"", ""Kitchen"", ""Hangers""]",110.0,5,56,5.0,5.0,56.0,56.0,5.0,56.0,,t,0,0,0,0,2023-09-07,27,0,0,2015-07-13,2020-10-16,4.78,4.81,4.63,4.93,4.89,4.56,4.67,,f,1,1,0,0,0.27
6913007,https://www.airbnb.com/rooms/6913007,20230906022807,2023-09-07,previous scrape,Rental unit in London · ★4.84 · 2 bedrooms · 2 beds · 2 baths,"Welcome to my lovely home only 3 mins from Pimlico tube @ 10 mins walk from Victoria Station (both in Zone 1) & on the top floor of a modern block.<br /><br />The flat is stylish and open plan; has very large roof terrace off the living room. You can even see Big Ben, the Houses of Parliament & the London Eye from the main bedroom balcony!<br /><br />There's a friendly concierge, who's available to help 7am-7pm. Don't miss the built-in coffee grinder and machine.<br /><br /><b>The space</b><br />This is a fantastic penthouse in the heart of Pimlico. Minutes away from transport and lovingly furnished to a very high standard, this is a great space for travellers who want an amazing London experience.<br /><br />The building is very safe and there's a friendly concierge, who's available to help 7am-7pm, 7 days a week.<br /><br />The home is very central just minutes away from some of the historical landmarks of London such as Tate Britain, Buckingham Palace, Westminster Cathedral, Westmin","Pimlico doesn’t shout about or show off its many attributes. You might not realise, for example, that it’s ten minutes’ walk to Sloane Square, a stone’s throw from Tate Britain and that Buckingham Palace is within easy reach. It’s also just a brisk half an hour walk to Trafalgar Square and, cutting through St James’s Park, the route is a scenic one too. Plenty of people, however, are in on the ‘secret’ making it a predominantly quiet, residential area with an interesting architectural mix. Victoria, with its coach and railway stations, means the area is a hub for travellers too – the Gatwick Express and Orient Express deliver visitors by the train load to the capital.",https://a0.muscache.com/pictures/91056453/c89f7ad5_original.jpg,36227597,https://www.airbnb.com/users/show/36227597,Rich,2015-06-19,"London, United Kingdom","Management consultant, don't hold that against me:), lived in London for 18 years and in my Pimlico home for 5 years.  Am a passionate pilot, diver and French wine collector - sadly none of these 3 hobbies mix well together!
I believe in living out your dreams so have taken off to work in South Africa for a while.  Hugely proud of my home, have been so happy there and I know you will too.  All the art I have collected in the flat is from friends of mine; love supporting them and only wish I was half as creative.",within an hour,100%,100%,f,https://a0.muscache.com/im/users/36227597/profile_pic/1434750920/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/36227597/profile_pic/1434750920/original.jpg?aki_policy=profile_x_medium,Pimlico,1.0,3.0,"['email', 'phone', 'work_email']",t,t,"London, United Kingdom",Westminster,,51.48968,-0.13603,Entire rental unit,Entire home/apt,4,,2 baths,2.0,2.0,"[""Bathtub"", ""Private patio or balcony"", ""Coffee maker: Keurig coffee machine"", ""Shampoo"", ""Luggage dropoff allowed"", ""Dryer"", ""Microwave"", ""Self check-in"", ""Bed linens"", ""Hot water"", ""Iron"", ""Outdoor dining area"", ""BBQ grill"", ""Conditioner"", ""Building staff"", ""Outdoor furniture"", ""Washer"", ""Cooking basics"", ""Heating"", ""Dishwasher"", ""Freezer"", ""Shower gel"", ""Free parking on premises"", ""Oven"", ""Refrigerator"", ""TV"", ""Hair dryer"", ""Essentials"", ""Long term stays allowed"", ""Stove"", ""Elevator"", ""Carbon monoxide alarm"", ""Wifi"", ""Dishes and silverware"", ""Smoke alarm"", ""Kitchen"", ""Hangers"", ""Dedicated workspace"", ""Air conditioning""]",300.0,5,1125,5.0,5.0,1125.0,1125.0,5.0,1125.0,,t,2,2,2,2,2023-09-07,121,0,0,2015-07-14,2020-10-14,4.84,4.9,4.77,4.72,4.81,4.83,4.78,,f,1,1,0,0,1.22
7710049,https://www.airbnb.com/rooms/7710049,20230906022807,2023-09-07,previous scrape,Rental unit in London · ★4.80 · 1 bedroom · 1 bed · 1 bath,"Very bright ground floor self contained one double-bed flat. Open plan kitchen/sittingroom and a lovely garden. In Maida Vale close to Portobello market Edgware Road & Hyde Park. <br />Underground Westbourne Park (H & C & Circle Line) & buses 18, 28 & 36.",,https://a0.muscache.com/pictures/5f183f39-b0d7-4119-ab3a-515c541120b9.jpg,40502762,https://www.airbnb.com/users/show/40502762,Krishan,2015-08-04,"London, United Kingdom",,,,,f,https://a0.muscache.com/im/users/40502762/profile_pic/1438784790/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/40502762/profile_pic/1438784790/original.jpg?aki_policy=profile_x_medium,,1.0,4.0,"['email', 'phone']",t,t,,Westminster,,51.52516,-0.20362,Entire rental unit,Entire home/apt,2,,1 bath,1.0,1.0,"[""Heating"", ""Hot water"", ""Hair dryer"", ""Iron"", ""Washer"", ""Carbon monoxide alarm"", ""First aid kit"", ""Host greets you"", ""Wifi"", ""Luggage dropoff allowed"", ""TV"", ""Smoke alarm"", ""Kitchen"", ""Hangers"", ""Essentials"", ""Long term stays allowed""]",90.0,1,1125,1.0,1.0,1125.0,1125.0,1.0,1125.0,,t,0,0,0,0,2023-09-07,164,0,0,2015-08-31,2020-10-04,4.8,4.91,4.67,4.98,4.96,4.68,4.7,,f,1,1,0,0,1.68
8857676,https://www.airbnb.com/rooms/8857676,20230906022807,2023-09-07,previous scrape,Townhouse in London · ★4.96 · 3 bedrooms · 2 beds · 1 bath,"We renovated our home a year ago so everything is in great condition. It's brilliantly located for Charing Cross, Victoria, Blackfriars, Waterloo, City Thameslink, Farringdon and London bridge all of which are on direct trains. There's a large open plan living room, dining room and kitchen.  There are two double bedrooms and the bathroom has a shower, separate bath and double sinks.  We've had two kids since the pictures were taken so there a few more toys around and drawings on the walls!<br /><br /><b>The space</b><br />A recently renovated Victorian house with a homely feel, ideal for a family holiday.  There's 2 good size bedrooms (for London anyway).  There's also a projector and a BBQ if you fancy spending the day at home.<br /><br /><b>Guest access</b><br />Two double bedrooms, the lounge, kitchen, dining room, bathroom (with bath and separate shower) and garden<br /><br /><b>Other things to note</b><br />This is our actual home so please don't expect a hotel!","Crofton Park has a few great bars (one of the best burgers in London, try the Trophy burger in the beer dispensery), a brilliant butcher, several delicious cafes within a 15 minute walk and a lot of lovely green spaces (Ladywell fields, Blythe Hill, Peckham Rye Park).  Crofton Park station (6 minutes walk from the house) is only 5 minutes on a train from Peckham, one of London's best eating, nightlife and arts hubs.",https://a0.muscache.com/pictures/27c1389f-d11e-4cfa-8fab-041a8ec3c64f.jpg,17418854,https://www.airbnb.com/users/show/17418854,Matthew,2014-06-29,"London, United Kingdom","I'm friendly and open, I try to be considerate and I'm almost always enthusiastic. My wife and I both work for Universities.  I'm an administrator and she is a lecturer. 

I love dance music, folk, rock 'n' roll and hip-hop and regularly go to clubs and gigs for live music.  I can watch movies all day.

That's probably all irrelevant though.  I'll look after your house as if it were my own and hope you feel at home if you come to us. 
",,,,f,https://a0.muscache.com/im/users/17418854/profile_pic/1407529487/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/17418854/profile_pic/1407529487/original.jpg?aki_policy=profile_x_medium,Honor Oak,1.0,2.0,"['email', 'phone', 'work_email']",t,t,"London, United Kingdom",Lewisham,,51.45047,-0.03131,Entire townhouse,Entire home/apt,4,,1 bath,3.0,2.0,"[""Bathtub"", ""Shampoo"", ""Luggage dropoff allowed"", ""Dryer"", ""Microwave"", ""Coffee maker"", ""Self check-in"", ""Hot water"", ""Iron"", ""Lockbox"", ""BBQ grill"", ""Washer"", ""Fire extinguisher"", ""Cooking basics"", ""Patio or balcony"", ""Heating"", ""Dishwasher"", ""Free street parking"", ""Oven"", ""Refrigerator"", ""Hair dryer"", ""Essentials"", ""Stove"", ""Carbon monoxide alarm"", ""Backyard"", ""Wifi"", ""Dishes and silverware"", ""Smoke alarm"", ""Kitchen"", ""Hangers""]",90.0,2,1125,2.0,2.0,1125.0,1125.0,2.0,1125.0,,t,0,0,0,0,2023-09-07,26,0,0,2017-10-20,2020-10-01,4.96,5.0,4.69,4.92,5.0,4.69,4.77,,f,1,1,0,0,0.36
8947583,https://www.airbnb.com/rooms/8947583,20230906022807,2023-09-06,city scrape,Townhouse in Morden · 1 bedroom · 1 bed · 1.5 shared baths,"Large double bed, free wi-fi, all mod cons, quiet location, 30 minutes from London city center, Plenty of buses, Rail next-work only 10 minutes away, Local Asda 2 minute walk. Parks to the front and rear of property giving quiet nice views.<br /><br /><b>Guest access</b><br />Full access to the house, join me in the living room to watch a film, have a drink or just chat! or cook your own meals and just enjoy your own space - the choice is yours, i have plenty of local knowledge, maps etc happy to be as helpful and sociable as required or not!<br /><br /><b>During your stay</b><br />i have given many trip tips so far, and lent travel passes to those who have needed it.","Local Asda & CO-OP if you want to cook at home, or lovely pub just 5 minute walk away, also close to indian and chinese resturants etc",https://a0.muscache.com/pictures/4b53df05-6c67-4daa-926d-007608c8847d.jpg,46761957,https://www.airbnb.com/users/show/46761957,Stephen,2015-10-17,"Morden, United Kingdom","Single guy, own home, been hosting for over 3 years now, love to cook and entertain my guests -i do it with a passion! happy to be a guide around London or UK, lived in London all my life. I build trains for a living!",a few days or more,0%,75%,t,https://a0.muscache.com/im/pictures/user/b3558746-7849-46d7-adc5-2d640aa04d54.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/b3558746-7849-46d7-adc5-2d640aa04d54.jpg?aki_policy=profile_x_medium,LB of Merton,2.0,2.0,"['email', 'phone']",t,t,"Morden, Greater London, United Kingdom",Merton,,51.38656,-0.21347,Private room in townhouse,Private room,2,,1.5 shared baths,,1.0,"[""Bathtub"", ""Indoor fireplace"", ""Private patio or balcony"", ""Fire pit"", ""Shampoo"", ""Luggage dropoff allowed"", ""Coffee maker"", ""Bed linens"", ""Clothing storage: closet and dresser"", ""Hot water"", ""Iron"", ""Outdoor dining area"", ""First aid kit"", ""Host greets you"", ""Outdoor furniture"", ""Washer"", ""55\"" HDTV with standard cable"", ""Cooking basics"", ""Fast wifi \u2013 391 Mbps"", ""Heating"", ""Drying rack for clothing"", ""Free street parking"", ""Refrigerator"", ""Hair dryer"", ""Essentials"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Backyard"", ""Cleaning products"", ""Extra pillows and blankets"", ""Dishes and silverware"", ""Smoke alarm"", ""Kitchen"", ""Hangers"", ""Dedicated workspace""]",34.0,2,1125,2.0,2.0,1125.0,1125.0,2.0,1125.0,,t,0,0,0,241,2023-09-06,2,0,0,2018-07-16,2020-10-22,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,f,2,0,2,0,0.03
11171713,https://www.airbnb.com/rooms/11171713,20230906022807,2023-09-07,previous scrape,Loft in West Drayton · ★4.33 · 1 bedroom · 2 beds · 1 bath,"This is separate flat to use only by guests.<br />New 1 bed flat with separate entrance with off street parking space <br />Bathroom, kitchen-living Room with double sofa bed on ground level, <br />Bedroom with kingsize Bed on 1 Floor.<br />You can use shared garden with kids play house.<br /><br /><br />Zone 6, <br />10min by bus to Heathrow Airport LHR<br />25min by train to Paddington<br /><br /><b>The space</b><br />26 Square Meters (280 Square Foot)<br /><br /><b>Guest access</b><br />Off street parking, garden<br /><br /><b>Other things to note</b><br />We have kitchen with gas cooker and basic equipment, but where is no oven, if you want cook a cake you must choose another place ;)",Easy access to M4 motorway and LHR Airport,https://a0.muscache.com/pictures/162867d5-23e3-415c-a61a-4017884909e1.jpg,58133212,https://www.airbnb.com/users/show/58133212,Pawel,2016-02-10,"West Drayton, United Kingdom",,,,,f,https://a0.muscache.com/im/pictures/user/4741279f-6c8f-41e5-94c2-b5e2b73dab68.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/4741279f-6c8f-41e5-94c2-b5e2b73dab68.jpg?aki_policy=profile_x_medium,LB of Hillingdon,1.0,1.0,"['email', 'phone']",t,f,"West Drayton, United Kingdom",Hillingdon,,51.49865,-0.46376,Entire loft,Entire home/apt,4,,1 bath,1.0,2.0,"[""Shampoo"", ""Microwave"", ""Self check-in"", ""Bed linens"", ""Smart lock"", ""Hot water"", ""Iron"", ""BBQ grill"", ""Washer"", ""Cooking basics"", ""Heating"", ""Free street parking"", ""Children\u2019s books and toys"", ""Free parking on premises"", ""Refrigerator"", ""TV"", ""Pets allowed"", ""Hair dryer"", ""Essentials"", ""Stove"", ""Carbon monoxide alarm"", ""Backyard"", ""Extra pillows and blankets"", ""Wifi"", ""Dishes and silverware"", ""Smoke alarm"", ""Kitchen"", ""Hangers"", ""Pack \u2019n play/Travel crib""]",79.0,1,18,1.0,1.0,18.0,18.0,1.0,18.0,,t,0,0,0,0,2023-09-07,187,0,0,2016-02-27,2020-10-10,4.33,4.67,4.87,4.75,4.71,4.46,4.33,,f,1,1,0,0,2.04
